No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Category
14,CIVI,Civitas Resources Inc,Energy,Oil & Gas E&P,USA,7.22B,6.31,76.96,-0.0019,1170395,MidCap
15,BAP,Credicorp Ltd,Financial,Banks - Regional,Peru,9.67B,7.16,121.57,-0.0539,894573,MidCap
16,ICL,ICL Group Ltd.,Basic Materials,Agricultural Inputs,Israel,6.43B,4.58,4.99,0.0122,807145,MidCap
17,BOH,Bank of Hawaii Corp.,Financial,Banks - Regional,USA,2.22B,11.33,55.78,0.0493,801655,MidCap
18,ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,3.05B,4.3,24,0.0131,778178,MidCap
19,FIBK,First Interstate BancSystem Inc.,Financial,Banks - Regional,USA,2.60B,9.15,24.78,0.0041,758163,MidCap
20,MDC,"M.D.C. Holdings, Inc.",Consumer Cyclical,Residential Construction,USA,3.21B,8.94,42.99,0.0467,646650,MidCap
21,MAIN,Main Street Capital Corporation,Financial,Asset Management,USA,3.35B,8.25,40.68,0.0122,585528,MidCap
22,BSAC,Banco Santander Chile SA ADR,Financial,Banks - Regional,Chile,8.72B,14.05,18.5,0.0266,579213,MidCap
23,KT,KT Corporation ADR,Communication Services,Telecom Services,South Korea,6.19B,6.85,12.74,0.0159,572660,MidCap
24,PPBI,"Pacific Premier Bancorp, Inc.",Financial,Banks - Regional,USA,2.05B,8.51,21.34,0.0415,495956,MidCap
25,AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3.18B,12.8,28.4,-0.017,392527,MidCap
26,SKM,SK Telecom Co Ltd ADR,Communication Services,Telecom Services,South Korea,8.38B,10.49,21.3,0.0285,331761,MidCap
27,BCC,Boise Cascade Co,Basic Materials,Building Materials,USA,4.13B,8.27,104.41,0.0319,309336,MidCap
28,CIB,Bancolombia S.A. ADR,Financial,Banks - Regional,Colombia,3.07B,8.7,27.12,0.0211,191258,MidCap
29,CIG-C,Cia Energetica DE Minas Gerais - Cemig ADR,Utilities,Utilities - Diversified,Brazil,2.60B,7.69,3.54,0.0412,32237,MidCap
30,WF,Woori Financial Group Inc ADR,Financial,Banks - Regional,South Korea,7.16B,3.22,28.3,0.0202,31110,MidCap
