"","Code","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1","601877.SH"," 正泰电器",23.21,"电气设备","2010-01-21",500.49487451,10.77863777,1.373137154,-15.92057762
"2","600332.SH"," 白云山",29.55,"医药生物","2001-02-06",510.82351618,13.59454071,1.498478702,5.471634777
"3","601699.SH"," 潞安环能",19.17,"采掘","2006-09-22",568.06860708,7.537352556,1.176665562,12.70029674
"4","000983.SZ"," 山西焦煤",8.63,"采掘","2000-07-26",571.11636654,7.225586782,1.070029262,-13.64806867
"5","601607.SH"," 上海医药",17.91,"医药生物","1994-03-24",669.55683056,10.78915663,0.987473259,1.402131239
"6","601018.SH"," 宁波港",3.42,"交通运输","2010-09-28",671.17639977,13.5,0.924324324,-3.631284916
"7","600089.SH"," 特变电工",13.94,"电气设备","1997-06-18",748.81162541,6.345689878,0.997545494,-26.19521912
"8","000425.SZ"," 徐工机械",5.68,"机械设备","1996-08-28",752.68978012,11.24233028,1.260289778,25.64102564
"9","600039.SH"," 四川路桥",7.73,"建筑装饰","2003-03-25",755.64062691,6.167553191,1.151582868,-22.0323741
"10","000100.SZ"," TCL科技",4.03,"电子","2004-01-30",766,11.23084069,1.357588007,9.677419355
"11","601336.SH"," 新华保险",32.52,"非银金融","2011-12-16",1150,7.792332268,0.986052153,22.44015957
"12","600018.SH"," 上港集团",4.99,"交通运输","2006-10-26",1200,8.631226937,1.034368393,-3.558052434
"13","600019.SH"," 宝钢股份",6.17,"钢铁","2000-12-12",1360,8.413636364,0.705949657,8.944543828
"14","600585.SH"," 海螺水泥",23.77,"建筑材料","2002-02-07",1380,4.493383743,0.686002886,-4.930606282
"15","600188.SH"," 兖州煤业",19.29,"采掘","1998-07-01",1510,5.23724626,1.171483576,-39.69624777
"16","600048.SH"," 保利地产",10.8,"房地产","2006-07-31",1530,5.192307692,0.690369348,-15.79643093
"17","002142.SZ"," 宁波银行",25.06,"银行","2007-07-19",1770,8.409395973,1.082973207,-17.19568567
"18","601601.SH"," 中国太保",26.94,"非银金融","2007-12-25",2750,10.12781955,1.134315789,16.59869494
"19","600036.SH"," 招商银行",30.99,"银行","2002-04-09",8310,6.806002928,0.947416692,-11.5136876
"20","601318.SH"," 中国平安",45.24,"非银金融","2007-03-01",8800,7.340183883,0.96316798,2.765957447
