Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,
000019.SZ, 深粮控股,6.82,广东,商业贸易,1992/10/12,0.3515,0.3154,0.2675,-0.1089,0.2139,-0.1171,0.0443,0.174,0.297,0.0323,0.031,-0.07,0.07,0.24,0,0,0.31,0.17,3.9872,是,1,21.9,63.4129,0.81,2.6883,4.0119,1.71,8298253828.80,0,0,1,1,0,1,0,0
000020.SZ, 深华发Ａ,9.15,广东,电子,1992/4/28,0.0241,0.0193,0.0116,0.0034,0.0193,-0.0238,0.0271,-0.023,0.0115,0.0385,0.0324,0.0147,0.0267,0.0913,0,0,0.02,0.01,1.1875,-,0,499.09,0,2.53,1.4922,4.623,7.71,2542787818.46,0,0,0,1,0,1,0,0
000021.SZ, 深科技,16.2,广东,电子,1994/2/2,0.5826,0.2395,0.3603,0.3679,0.1457,0.1228,0.1332,0.171,0.0709,0.1906,0.2913,0.29,0.3598,0.8064,0,1,0.39,0.13,5.1554,是,1,41.1,25.0568,2.15,1.2359,2.3976,3.14,24776007672.92,0,0,0,1,0,1,0,0
000023.SZ, 深天地Ａ,14.28,广东,建筑材料,1993/4/29,-0.0573,0.3663,0.1897,0.2198,0.0717,0.1926,0.1243,0.1083,0.0373,0.0668,0.0948,0.177,0.1536,0.1453,0,1,0.17,0.09,3.3487,-,0,85.9,2.7301,0.85,1.1423,5.0509,4.26,2206224216.00,0,0,0,1,0,1,0,0
000024.SZ, 招商地产,0,广东,-,1993/6/7,0,0,0,0,0,0,1.66,2.447,1.9323,1.5092,1.17,0.9574,0.9408,1.52,0,0,0,2.01,0,-,0,10000,0,-1,0,0,#DIV/0!,104326005537.00,1,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000025.SZ, 特  力Ａ,15.44,广东,汽车,1993/6/21,0.1338,0.5096,0.2924,0.2249,0.0915,0.1538,0.047,0.0313,0.0324,0.0098,0.0163,0.0286,0.02,0.05,0,1,0.31,0.04,3.0402,是,1,49.5,8.2417,7.45,2.0715,-5.8803,5.08,6224482140.80,0,0,1,1,0,1,0,0
000026.SZ, 飞亚达,12.76,广东,轻工制造,1993/6/3,0.6764,0.4943,0.419,0.3196,0.2522,0.3099,0.371,0.331,0.295,0.406,0.377,0.281,0.259,0.244,0,1,0.53,0.33,6.5405,是,1,24.08,39.6623,0.59,2.444,11.73,1.95,7121251034.70,0,0,1,1,0,1,0,0
000027.SZ, 深圳能源,7.91,广东,公用事业,1993/9/3,0.78,0.43,0.17,0.19,0.34,0.45,0,0,0,0.43,0.64,0.91,0.47,0.79,0,0,0.46,0,5.6679,是,1,17.2,11.6519,-999,0.9381,0.5673,1.4,41960179059.12,0,0,0,1,1,1,1,0
000028.SZ, 国药一致,34.44,广东,医药生物,1993/8/9,3.27,2.97,2.83,2.47,2.8,2.1,1.9,1.81,1.65,1.15,0.91,0.67,0.537,0.434,0,1,3.02,1.79,32.5799,是,1,11.39,20.206,0.69,1.4445,2.2929,1.06,16979516145.78,0,1,0,1,1,1,1,1
000029.SZ, 深深房Ａ,7.02,广东,房地产,1993/9/15,0.2869,0.5461,0.4977,0.1829,0.308,0.2977,0.2946,0.2256,0.1056,0.1,0.0838,0.02,0.0189,0.0288,0,1,0.44,0.21,3.7537,是,1,15.83,30.2151,1.13,3.28,-1.5371,1.87,7455934200.00,0,0,1,1,0,1,0,0
