Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,
000815.SZ, 美利云,5.96,宁夏,轻工制造,1998/6/9,0.07,0.07,0.06,0.04,0.01,0.47,-2.05,-0.75,0.08,-0.6,-0.37,0.05,0.43,0.4,0,0,0.07,-0.91,3.0684,-,0,89.4,0,-1.07,2.348,4.8634,1.94,3399836241.15,0,0,1,1,0,1,0,0
000816.SZ, 智慧农业,3.05,江苏,机械设备,1997/8/18,0.04,-0.4,0.03,-0.19,-0.1,0.02,0.04,0.08,0.09,0.0561,0.16,0.17,0.0985,0.1502,0,0,-0.11,0.07,1.4683,-,0,10000,0,-2.57,1.2913,17.035,2.08,4401715252.62,0,0,0,1,0,1,0,0
000817.SZ, 辽河油田,0,辽宁,-,1998/5/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,9625000000.00,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000818.SZ, 航锦科技,33.98,湖北,化工,1997/10/17,0.34,0.44,0.73,0.37,0.16,0.1787,0.1251,-0.1268,0.0264,0.1743,1.7058,-3.2389,-0.6952,0.0599,0,0,0.5,0.01,4.2152,是,1,67.51,11.2484,60.13,1.1386,2.1256,8.06,15365641140.00,0,0,0,1,0,1,0,0
000819.SZ, 岳阳兴长,7.05,湖南,化工,1997/6/25,0.091,0.212,0.192,-0.036,0.117,0.197,0.173,0.293,0.29,0.18,0.224,0.263,0.492,-0.011,0,0,0.17,0.25,2.8256,是,1,42.73,11.812,-0.35,5.2295,-1.7915,2.5,1833791063.15,0,0,1,1,0,1,0,0
000820.SZ, *ST节能,4.02,江西,公用事业,1998/6/30,-0.57,-3.21,-1.1,0.55,0.75,0.04,0.01,0.06,2.1,0.11,-2.48,-0.5,-0.65,0.31,0,0,-1.63,0.72,-3.735,-,0,10000,0,-3.25,0.0059,-2.5189,-1.08,2625450314.64,0,0,0,1,1,1,1,1
000821.SZ, 京山轻机,16.7,湖北,机械设备,1998/6/26,0.11,-0.98,0.27,0.32,0.18,0.12,0.03,0.03,-0.24,0.01,0.09,0.01,0.02,0.09,0,0,-0.2,-0.06,4.3369,-,0,10000,0,2.33,1.3349,1.0219,3.85,4268205770.40,0,0,0,1,0,1,0,0
000822.SZ, 山东海化,12.27,山东,化工,1998/7/3,-0.28,0.18,0.66,0.77,-0.14,0.14,0.18,-1.26,-0.58,0.43,0.05,-0.79,0.23,0.39,0,0,0.19,-0.55,3.3993,-,0,65.73,49.4096,-1.34,1.5901,-144.5798,3.61,6131379693.10,0,0,0,1,0,1,0,0
000823.SZ, 超声电子,11.57,广东,电子,1997/10/8,0.5773,0.5645,0.5025,0.3574,0.3487,0.1702,0.3119,0.3029,0.4251,0.4131,0.3623,0.2533,0.2492,0.278,0,1,0.55,0.35,6.9912,是,1,21.11,17.7164,0.58,2.2691,-13.1836,1.65,5605925040.00,0,0,1,1,0,1,0,0
000825.SZ, 太钢不锈,8.95,山西,钢铁,1998/10/21,0.305,0.372,0.874,0.811,0.201,-0.652,0.078,0.111,0.194,0.317,0.241,0.159,0.229,1.2284,0,0,0.52,0.13,5.778,是,1,17.31,26.8835,3.05,0.7819,1.741,1.55,43690220595.32,0,0,0,1,0,1,0,0
000826.SZ, 启迪环境,4.65,湖北,公用事业,1998/2/25,-1.133,0.211,0.381,1.268,1.249,1.094,0.95,0.91,0.86,0.73,0.49,0.35,0.28,0.43,0,0,-0.18,0.91,8.3336,-,0,10000,0,-1.2,0.6851,0.0456,0.56,8254439583.68,0,0,0,1,1,1,1,0
000827.SZ, *ST长兴,0,辽宁,-,1998/10/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,77417472.00,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000828.SZ, 东莞控股,10.92,广东,交通运输,1997/6/17,0.878,1.0331,1.009,0.8531,0.7975,0.7855,0.5679,0.385,0.3417,0.3414,0.3387,0.2795,0.1775,0.1971,0,1,0.97,0.43,7.4878,是,1,11.22,29.0399,1.26,1.7236,-7.9756,1.46,10478331279.36,0,1,0,1,1,1,1,1
000829.SZ, 天音控股,18.52,江西,商业贸易,1997/12/2,0.18,0.05,-0.22,0.24,0.23,-0.24,0.02,0.03,-0.02,0.05,0.328,0.301,0.146,0,0,0,0,0.01,2.4079,是,1,5556,61.1207,-0.67,0.9103,0.018,7.69,7103946035.34,0,0,0,1,0,1,0,0
000830.SZ, 鲁西化工,21.13,山东,化工,1998/8/7,0.563,1.147,2.015,1.239,0.09,0.18,0.25,0.209,0.231,0.303,0.2,0.134,0.22,0.21,0,1,1.24,0.23,7.4887,是,1,17.02,43.2977,4.4,0.2635,1.0198,2.82,31668825152.93,0,0,0,1,0,1,0,0
000831.SZ, 五矿稀土,50.58,山西,有色金属,1998/9/11,0.2844,0.0876,0.1038,0.0311,0.019,-0.406,-0.057,0.231,0.292,0.01,-0.34,-1.09,-0.76,1.0474,0,0,0.16,0.16,2.5093,是,1,318.92,0,0.02,4.6481,16.4041,20.16,17803135005.15,0,0,1,1,0,1,0,0
000832.SZ, *ST龙涤,0,黑龙江,-,1998/8/25,0,0,0,0,0,0,-0.0972,-0.124,-0.09,-0.04,-0.56,-0.28,-0.28,0.02,0,0,0,-0.1,0,-,0,10000,0,-1,0,0,#DIV/0!,510501170.85,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000833.SZ, 粤桂股份,8.87,广西,采掘,1998/11/11,0.0939,0.1242,0.1324,0.12,0.06,0.22,0.1,-0.36,0.05,0.36,0.31,0.1,0.22,0.21,0,0,0.12,-0.07,4.2846,是,1,75.92,12.0753,-2.67,1.325,-8.2846,2.07,3181592810.76,0,0,0,1,0,1,0,0
000835.SZ, *ST长动,3.38,四川,传媒,1999/6/25,-0.62,-1.1185,-1.37,0.39,-0.25,0.06,0.0195,0.0193,-0.1138,0.0112,0.06,0.11,0.4076,0.5119,0,0,-1.04,-0.03,-1.7757,-,0,10000,0,40.45,0.0412,-1.2372,-1.9,780957293.86,0,0,0,1,1,1,1,1
000836.SZ, 富通信息,2.39,天津,通信,1997/9/29,0.0098,0.0339,0.0552,0.0696,0.0393,0.3585,-0.491,0.0471,0.0634,-0.2222,0.024,0.2485,1.8947,0.2178,0,0,0.03,-0.13,1.0403,-,0,72.5,0,-1.26,1.314,1.8618,2.3,2755277910.72,0,0,0,1,0,1,0,0
000837.SZ, *ST秦机,12.49,陕西,机械设备,1998/9/28,0.2205,-0.4291,-0.4035,0.0237,0.0216,-0.3407,0.0301,-0.084,0.0311,0.3796,0.3055,0.2654,0.2105,0.3112,0,0,-0.2,-0.01,3.1054,-,0,10000,0,25.85,1.175,0.4903,4.02,5942188698.70,0,0,0,1,0,1,0,0
000838.SZ, 财信发展,3.18,重庆,房地产,1997/6/26,0.1054,0.0986,0.1033,0.1779,0.1011,0.3913,0.4119,0.33,0.1716,-0.1523,-0.1335,0.0137,0.0583,0.6498,0,1,0.1,0.3,1.7882,是,1,31.04,133.8314,-0.66,1.3908,0.1945,1.78,3224354158.10,0,0,0,1,0,1,0,0
000839.SZ, 中信国安,2.8,北京,综合,1997/10/31,0,0,0,0,0,0.2242,0.1207,0,0.1084,0.0933,0.166,0.3917,0.2281,0.417,0,0,0,0.08,1.4979,-,0,10000,0,-1,0.6746,1.1688,1.87,8035644021.60,0,0,0,1,0,1,0,0
000848.SZ, 承德露露,12.17,河北,食品饮料,1997/11/13,0.4,0.47,0.42,0.42,0.46,0.62,0.86,0.83,0.55,0.53,0.59,0.73,0.58,0.46,0,1,0.43,0.75,2.0451,是,1,28.3,42.1006,-0.42,3.1748,-0.9862,5.95,7319649200.00,0,0,1,1,0,1,0,0
000850.SZ, 华茂股份,3.68,安徽,纺织服装,1998/10/7,0.24,0.21,0.13,0.11,0.1,0.09,0.4,0.2,0.37,0.323,0.572,0.113,0.219,0.233,0,1,0.19,0.32,4.5605,是,1,19.03,23.8665,-0.4,2.0512,2.7265,0.81,3538743783.75,0,0,1,1,1,1,1,1
000851.SZ, 高鸿股份,5.72,贵州,通信,1998/6/9,-0.134,0.0255,0.0374,0.2811,0.1347,0.1444,0.1045,0.1011,0.0718,0.0705,0.0425,0.0626,0.04,0.04,0,1,-0.02,0.09,3.4889,-,0,10000,78.5264,-1.26,1.2858,1.1873,1.64,5418550305.99,0,0,0,1,0,1,0,0
000852.SZ, 石化机械,5.1,湖北,机械设备,1998/11/26,0.0092,0.0321,0.0226,0.0157,-1.39,0.01,0.18,0.26,0.33,0.26,0.27,0.27,0.33,0.3,0,0,0.02,0.26,2.327,-,0,239.44,0,-0.92,1.0851,0.4482,2.19,3421461986.80,0,0,0,1,0,1,0,0
000856.SZ, 冀东装备,7.77,河北,机械设备,1998/8/13,0.0197,0.104,0.1,0.07,0.1,-0.89,-0.38,0.04,0.19,0.31,-0.36,0.06,-0.72,-0.66,0,0,0.07,-0.05,1.5207,-,0,104.2,0,-2.49,0.9151,0.3897,5.11,1452800000.00,0,0,0,1,0,1,0,0
000858.SZ, 五 粮 液,205.68,四川,食品饮料,1998/4/27,5.141,4.483,3.474,2.548,1.787,1.627,1.537,2.1,2.617,1.622,1.158,0.855,0.477,0.387,0,1,4.37,2.08,22.08,是,1,47.11,49.0717,1.09,3.9552,-1.4231,9.32,1056185538160.50,1,0,1,1,0,1,0,0
000859.SZ, 国风塑业,6.79,安徽,化工,1998/11/19,0.16,0.11,0.14,0.08,0.0248,0.01,0.01,-0.09,0.0113,0.05,0.1006,-0.32,0.011,0.0564,0,0,0.14,-0.02,2.3603,是,1,49.68,13.216,-6.97,1.5779,-1.5087,2.88,4775553524.43,0,0,0,1,0,1,0,0
000860.SZ, 顺鑫农业,31.4,北京,食品饮料,1998/11/4,0.5662,1.0909,1.3044,0.7683,0.7231,0.6594,0.7124,0.4507,0.2869,0.6997,0.61,0.37,0.5,0.36,0,1,0.99,0.48,10.4365,是,1,31.81,13.7495,1.04,1.5361,1.9185,3.01,34254799552.02,0,0,0,1,0,1,0,0
000861.SZ, 海印股份,2.08,广东,商业贸易,1998/10/28,0.0143,0.06,0.05,0.09,0.08,0.09,0.26,0.81,0.88,0.79,0.52,0.29,0.35,0.26,0,1,0.04,0.65,1.6325,是,1,50.2,15.96,-0.94,1.2636,0.5438,1.27,5139362184.71,0,0,0,1,1,1,1,0
000862.SZ, 银星能源,6.74,宁夏,公用事业,1998/9/15,0.0486,0.041,0.075,-0.267,0.02,-0.22,0.04,-0.52,0.0198,0.2079,0.1345,0.1524,0.12,0.08,0,0,0.05,-0.15,3.7613,-,0,122.84,0,-1.36,0.8804,0.4365,1.79,3890715673.47,0,0,0,1,0,1,0,0
000863.SZ, 三湘印象,3.09,上海,房地产,1997/9/25,0.23,0.21,-0.33,0.19,0.58,0.11,0.19,0.65,0.59,0.42,0.03,0.04,0.03,0.17,0,0,0.04,0.48,4.0123,是,1,84.27,0,-0.92,1.959,1.4266,0.77,4900832640.00,0,0,0,1,1,1,1,0
000866.SZ, 扬子石化,0,江苏,-,1998/5/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,32247200000.00,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000868.SZ, 安凯客车,4.16,安徽,汽车,1997/7/25,0.14,0.05,-1.25,-0.33,0.07,0.06,0.03,-0.05,0.14,0.3,0.24,0.08,0.078,0.07,0,0,-0.35,0.04,0.7185,-,0,10000,0,-9.83,0.9266,0.357,5.79,2720651213.28,0,0,0,1,0,1,0,0
000869.SZ, 张  裕Ａ,30.96,山东,食品饮料,2000/10/26,0.69,1.65,1.52,1.51,1.43,1.5,1.43,1.53,2.48,3.62,2.72,2.14,1.7,1.21,0,1,1.29,1.81,14.9794,是,1,24.06,42.4723,-0.29,2.2226,25.6011,2.07,25944812400.00,0,0,1,1,0,1,0,0
000875.SZ, 吉电股份,6.41,吉林,公用事业,2002/9/26,0.22,0.07,0.05,-0.16,0.0089,0.0806,0.0512,0.05,-0.53,0.02,0.016,0.18,-0.4849,0.108,0,0,0.11,-0.14,3.6382,-,0,56.56,0,-1.79,0.5239,0.1864,1.76,13253488826.50,0,0,0,1,0,1,0,0
000876.SZ, 新 希 望,11.11,四川,农林牧渔,1998/3/11,1.17,1.22,0.4,0.54,0.59,1.06,1.09,1.09,0.98,1.52,0.7,0.54,0.3,0.48,0,1,0.93,1.05,8.4013,-,0,11.95,12.3277,-0.12,0.9103,1.0613,1.32,70976569261.50,1,1,0,1,1,1,1,1
000877.SZ, 天山股份,15.01,新疆,建筑材料,1999/1/7,1.4458,1.5598,1.1835,0.301,0.1134,-0.5966,0.29,0.32,0.37,2.91,1.39,1.12,0.6153,0.5038,0,0,1.4,0.33,10.1375,是,1,10.75,32.6973,3.27,1.3356,25.648,1.48,16150333568.60,0,1,0,1,1,1,1,1
000878.SZ, 云南铜业,15.49,云南,有色金属,1998/6/2,0.2233,0.3941,0.0878,0.1606,0.144,0.018,0.05,-1.06,0.02,0.44,0.34,0.3,-2.22,0.73,0,0,0.24,-0.33,4.8241,是,1,65.9,0,-1.71,1.16,0.2736,3.21,25308213758.40,0,0,0,1,0,1,0,0
000880.SZ, 潍柴重机,7.86,山东,机械设备,1998/4/2,0.4,0.3,0.15,0.09,0.07,0.11,0.17,0.14,0.27,0.69,0.79,0.65,0.25,0.2,0,1,0.28,0.19,5.6718,是,1,27.74,6.5993,0.47,0.8959,-3.136,1.39,2620193745.00,0,0,0,1,1,1,1,0
000881.SZ, 中广核技,9.85,辽宁,化工,1998/9/2,0.2868,0.1002,0.3058,0.3684,0.6512,-2.65,0.24,0.35,0.65,0.745,0.658,0.36,0.522,0.41,0,0,0.23,0.41,6.3145,是,1,42.65,52.1994,-0.44,1.7346,1.8741,1.56,10598223386.15,0,0,0,1,0,1,0,0
000882.SZ, 华联股份,1.9,北京,商业贸易,1998/6/16,0.0084,0.0176,0.012,0.0074,0.0521,0.0992,0.0334,0.061,0.05,0.07,0.0998,0.2017,0.2015,0.1027,0,1,0.01,0.05,2.935,是,1,150,28.4301,-0.74,1.2122,4.6103,0.65,5036727582.48,0,0,0,1,1,1,1,0
000883.SZ, 湖北能源,4.41,湖北,公用事业,1998/5/19,0.38,0.23,0.278,0.334,0.29,0.29,0.21,0.35,0.3,0.29,0.5,0.17,0.11,0.08,0,1,0.3,0.29,4.4362,是,1,14.9,43.4254,0.03,0.482,1.383,0.99,30715161573.92,0,1,0,1,1,1,1,1
000885.SZ, 城发环境,9.46,河南,交通运输,1999/3/19,1.0763,1.2574,1.1735,1.2234,0.0899,0.076,0.3732,0.1555,0.5002,0.9533,0.5088,0.4483,0.3086,0.26,0,1,1.17,0.34,7.3189,是,1,8.09,10.0209,2.41,0.7585,1.1877,1.29,6472148810.40,0,1,0,1,1,1,1,1
000886.SZ, 海南高速,4.18,海南,交通运输,1998/1/23,0.09,0.06,0.168,0.095,0.064,-0.229,0.051,0.137,0.093,0.158,0.119,0.054,0.027,0.026,0,0,0.11,0.09,2.86,是,1,39.43,0,0.13,5.8369,-2.4369,1.46,4677157859.00,0,0,1,1,1,1,1,0
000887.SZ, 中鼎股份,15.81,安徽,汽车,1998/12/3,0.41,0.46,0.92,0.92,0.76,0,0,0.36,0.86,0.5,0.73,0.48,0.42,0.31,0,0,0.6,0.41,7.1858,是,1,26.5,40.242,0.47,1.8872,1.183,2.2,13648962009.02,0,0,0,1,0,1,0,0
000888.SZ, 峨眉山Ａ,6.37,四川,休闲服务,1997/10/21,-0.0731,0.4292,0.3971,0.3731,0.3629,0.3724,0.7193,0.4856,0.8029,0.617,0.4689,0.3566,0.0949,0.1971,0,0,0.25,0.67,4.5962,-,0,25.37,23.2966,-0.62,3.4309,-5.5668,1.39,3166747743.02,0,0,1,1,1,1,1,0
000889.SZ, 中嘉博创,3.21,河北,通信,1997/12/18,0.0216,-1.8558,0.3991,0.3676,0.3537,0.247,0.2146,0.2085,0.2475,0.2073,0.0901,-0.1759,0.0106,0.0098,0,0,-0.48,0.22,2.5022,-,0,10000,0,-3.14,1.2931,12.7851,1.28,5795642008.04,0,0,0,1,1,1,1,0
000890.SZ, *ST胜尔,5.31,江苏,非银金融,1999/1/19,0.04,-2.05,-0.38,0.38,0.37,0.0146,0.0137,0.0169,0.0274,0.0364,0.0339,0.0342,0.03,0.04,0,0,-0.8,0.02,0.0396,-,0,10000,0,-42.21,0.56,-0.0158,134.09,2076544641.60,0,0,0,1,0,1,0,0
000892.SZ, 欢瑞世纪,2.71,重庆,传媒,1999/1/15,-0.8001,-0.56,0.33,0.43,0.62,0.0031,-0.0058,-0.0015,0.0033,0.0015,-0.0075,-0.01,2.91,0.01,0,0,-0.34,0,1.9052,-,0,10000,0,256.53,3.4615,-2.5043,1.42,2707506105.48,0,0,1,1,1,1,1,0
000893.SZ, 亚钾国际,20.7,广东,化工,1998/12/24,0.0788,0.0547,0.0042,-3.1532,0.03,0.09,-1.16,0.57,0.16,-0.85,0.86,0.25,-0.28,0.13,0,0,0.05,-0.14,4.9068,-,0,450.98,0,-1.32,2.9683,-2.8133,4.22,9400738638.24,0,0,1,1,0,1,0,0
000895.SZ, 双汇发展,24.56,河南,食品饮料,1998/12/10,1.8642,1.6382,1.4894,1.3091,1.3346,1.2892,1.8358,1.75,2.62,0.93,1.8,1.5,1.15,0.9272,0,1,1.66,2.07,6.8587,是,1,14.76,61.043,-0.2,2.2085,-8.3555,3.58,124000224813.27,1,1,1,1,0,1,0,0
000897.SZ, 津滨发展,1.96,天津,房地产,1999/4/22,0.1244,0.1076,-0.0801,-0.0738,0.0291,-0.1157,0.0063,-0.3326,0.0427,-0.1843,0.0592,0.0102,0.0424,0.0643,0,0,0.05,-0.09,0.8801,-,0,38.71,0,-1.54,1.3218,0.2965,2.23,3493308025.44,0,0,0,1,0,1,0,0
000898.SZ, 鞍钢股份,5.19,辽宁,钢铁,1997/12/25,0.198,0.187,1.088,0.775,0.223,-0.635,0.128,0.106,-0.575,-0.297,0.282,0.1,0.413,1.12,0,0,0.49,-0.11,5.6741,是,1,10.57,30,-5.32,0.8308,2.734,0.91,48907301045.20,0,1,0,1,1,1,1,1
000899.SZ, 赣能股份,4.82,江西,公用事业,1997/11/26,0.3239,0.25,0.19,0.0169,0.4,0.89,0.6,0.6817,0.255,-0.4199,-0.0612,0.1469,0.0652,0.0636,0,1,0.25,0.51,5.1263,是,1,18.93,40.1127,-0.5,0.8834,2.4009,0.94,5229632793.60,0,0,0,1,1,1,1,1
000900.SZ, 现代投资,4.15,湖南,交通运输,1999/1/28,0.35,0.64,0.63,0.57,0.81,0.56,0.41,0.69,1.08,2.06,1.99,1.58,1.43,1.48,0,1,0.54,0.73,6.8301,是,1,7.69,24.877,-0.26,0.5505,-0.5648,0.61,6526661836.20,0,1,0,1,1,1,1,1
000901.SZ, 航天科技,9.16,黑龙江,机械设备,1999/4/1,-0.8458,0.2616,0.2557,0.4159,0.2507,0.16,0.12,0.19,0.16,0.24,0.28,0.03,-0.22,0.02,0,0,-0.11,0.16,5.4435,-,0,10000,6.3515,-1.7,2.4751,-8.676,1.68,6385611248.00,0,0,1,1,0,1,0,0
000902.SZ, 新洋丰,21.05,湖北,化工,1999/4/8,0.75,0.5,0.63,0.52,0.43,1.18,1.09,-0.16,-0.17,0.01,0.06,-0.1884,-0.2222,0.028,0,0,0.63,0.25,5.306,是,1,33.59,39.3105,1.47,1.7797,-33.3842,3.97,21629095628.20,0,0,0,1,0,1,0,0
000903.SZ, 云内动力,3.65,云南,汽车,1999/4/15,0.115,0.097,0.118,0.149,0.28,0.22,0.234,0.216,0.1,0.059,0.36,0.449,0.358,0.673,0,1,0.11,0.18,2.8966,是,1,33.18,31.0686,-0.4,1.0947,1.2996,1.26,6838678973.79,0,0,0,1,1,1,1,0
000905.SZ, 厦门港务,6.67,福建,交通运输,1999/4/29,0.2172,0.1613,0.0475,0.2,0.39,0.49,0.54,0.62,0.45,0.27,0.19,0.13,0.22,0.28,0,1,0.14,0.54,5.5928,是,1,46.97,10.9517,-0.74,0.8776,1.1472,1.19,4282561925.70,0,0,0,1,1,1,1,0
000906.SZ, 浙商中拓,10.93,浙江,商业贸易,1999/7/7,0.76,0.73,0.39,0.34,0.32,0.25,0.22,0.21,0.06,0.22,0.24,0.06,0.05,-0.33,0,1,0.63,0.16,4.2139,是,1,17.44,31.4513,2.84,1.2049,0.4456,2.59,6218302787.42,0,0,0,1,0,1,0,0
000908.SZ, 景峰医药,3.93,湖南,医药生物,1999/2/3,-1.1,-1.0034,0.2123,0.1842,0.39,0.41,0.55,0.012,-0.2171,-0.2035,0.0107,-0.85,-0.11,0.02,0,0,-0.63,0.11,0.5033,-,0,10000,0,-6.48,0.5498,-0.0326,7.81,5419410002.16,0,0,0,1,0,1,0,0
000909.SZ, 数源科技,6.81,浙江,房地产,1999/5/7,0.114,0.088,0.118,0.098,0.073,0.1,0.12,0.11,0.22,0.24,0.12,0.103,-0.095,0.01,0,1,0.11,0.15,4.0116,是,1,63.84,0,-0.29,2.087,3.1908,1.7,3231259632.00,0,0,1,1,0,1,0,0
000910.SZ, 大亚圣象,12.8,江苏,轻工制造,1999/6/30,1.14,1.3,1.31,1.22,1.02,0.6,0.31,0.25,0.23,0.27,0.36,0.39,0.38,0.42,0,1,1.25,0.26,10.2512,是,1,10.24,9.9899,3.75,2.0095,-3.9663,1.25,7849680150.00,0,1,1,1,1,1,1,1
000911.SZ, 南宁糖业,11.59,广西,农林牧渔,1999/5/27,0.14,0.1,-4.21,-0.6,0.06,0.19,-1,0.17,-1.08,0.3,0.64,0.43,0.09,0.49,0,0,-1.32,-0.64,0.3741,-,0,10000,0,1.08,0.5856,-0.2581,30.98,3069046473.39,0,0,0,1,0,1,0,0
000912.SZ, 泸天化,5.74,四川,化工,1999/6/3,0.24,0.18,0.35,-2.54,-1.09,0.0312,-1.9501,-0.5086,0.0271,0.03,-0.29,0.19,0.51,0.78,0,0,0.26,-0.81,3.4556,-,0,22.36,0,-1.32,1.9167,525.0127,1.66,6303360000.00,0,0,0,1,0,1,0,0
000913.SZ, 钱江摩托,14.71,浙江,汽车,1999/5/14,0.53,0.5,0.14,0.18,0.72,-0.29,-0.43,0.03,0.02,-0.04,0.15,0.26,0.09,0.17,0,0,0.39,-0.13,6.0536,-,0,37.72,87.5394,-4.08,1.7217,-3.6674,2.43,8789527680.00,0,0,0,1,0,1,0,0
000915.SZ, 华特达因,33.15,山东,医药生物,1999/6/9,1.24,0.87,0.55,1.04,1.1,0.85,1.21,0.85,0.67,0.52,0.39,0.15,0.08,0.07,0,1,0.89,0.91,8.3326,是,1,37.39,34.4432,-0.03,3.4328,-1.3655,3.98,6636267655.20,0,0,1,1,0,1,0,0
000916.SZ, 华北高速,0,北京,-,1999/9/27,0,0,0,0,0.2752,0.1246,0.2087,0.25,0.19,0.23,0.22,0.27,0.231,0.286,0,0,0,0.22,0,-,0,10000,0,-1,0,0,#DIV/0!,9613800000.00,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!
000917.SZ, 电广传媒,7.09,湖南,传媒,1999/3/25,-1.04,0.08,0.06,-0.33,0.24,0.27,0.23,0.48,0.63,1.25,1.01,0.07,0.05,0.33,0,0,-0.3,0.45,7.1926,-,0,10000,19.1371,-1.67,1.5876,3.0635,0.99,7144483943.52,0,0,0,1,1,1,1,0
000918.SZ, 嘉凯城,3.79,浙江,房地产,1999/7/20,-0.7,0.06,-0.87,1.1,0.22,-1.3,0.02,0.03,0.06,0.11,0.62,0.83,-1.44,-0.69,0,0,-0.5,0.04,1.2758,-,0,10000,0,-14.73,0.9413,0.5894,2.97,11943747730.00,0,0,0,1,0,1,0,0
000919.SZ, 金陵药业,6.86,江苏,医药生物,1999/11/18,0.1292,0.2883,0.4797,0.2721,0.3574,0.4129,0.3912,0.3093,0.2848,0.3278,0.3824,0.4384,0.1639,0.61,0,1,0.3,0.33,5.6696,是,1,22.94,58.9598,-0.09,2.5604,-2.1055,1.21,4037040000.00,0,0,1,1,1,1,1,0
000920.SZ, 南方汇通,10.01,贵州,公用事业,1999/6/16,0.25,0.22,0.21,0.27,0.23,0.2,0.43,0.15,0.14,0.138,0.14,0.08,0.056,0.0302,0,1,0.23,0.24,2.8839,是,1,44.16,35.1971,-0.06,1.83,4.9193,3.47,2696580000.00,0,0,0,1,0,1,0,0
000921.SZ, 海信家电,13.77,广东,家用电器,1999/7/13,1.16,1.32,1.01,1.47,0.8,0.43,0.5,0.92,0.5301,0.1677,0.4365,0.1514,-0.2285,0.2524,0,1,1.16,0.65,7.1761,是,1,11.84,30.0098,0.79,1.1314,1.4873,1.92,21830860427.40,0,1,0,1,0,1,0,0
000922.SZ, 佳电股份,8.35,黑龙江,电气设备,1999/6/18,0.6815,0.7038,0.5689,0.2216,-0.8032,-0.78,0.01,0.32,0.36,-0.16,0.01,-0.19,-0.18,0.02,0,0,0.65,0.23,4.2716,是,1,12.82,11.5704,1.83,1.9147,-4.4087,1.95,4482106156.44,0,1,0,1,0,1,0,0
000923.SZ, 河钢资源,19.02,河北,采掘,1999/7/14,1.4878,0.814,0.2055,0.5323,0.011,0.004,-0.364,0.0207,0.0273,0.0521,0.1002,0.0662,0.0236,0.0669,0,0,0.84,-0.11,11.3751,是,1,22.76,12.3479,-8.93,5.4709,-2.0417,1.67,17486608865.19,0,0,1,1,0,1,0,0
000925.SZ, 众合科技,9.42,浙江,机械设备,1999/6/11,0.1,0.24,0.05,0.17,-0.336,0.11,0.04,-0.48,0.12,0.1,0.19,0.34,0.24,4.35,0,0,0.13,-0.11,4.5159,-,0,72.46,0,-2.22,1.1455,1.4639,2.09,3724101009.85,0,0,0,1,0,1,0,0
000926.SZ, 福星股份,4.22,湖北,房地产,1999/6/18,0.32,0.62,1.17,0.89,0.61,0.66,0.99,0.94,0.86,0.73,0.71,0.477,0.547,0.599,0,1,0.7,0.93,11.5226,是,1,6,15.7441,-0.24,1.3538,0.4111,0.37,4273333384.56,0,1,0,1,1,1,1,1
000927.SZ, 中国铁物,3.46,天津,汽车,1999/7/27,0.2211,-0.9281,0.0234,-1.03,0.1018,0.01,-1.0401,-0.3009,0.0214,0.0686,0.1879,0.1102,0.0627,0.1548,0,0,-0.23,-0.44,1.1018,-,0,10000,0,-0.48,1.3044,0.9982,3.14,23596379199.90,0,0,0,1,0,1,0,0
000928.SZ, 中钢国际,10.91,吉林,建筑装饰,1999/3/12,0.479,0.4255,0.3509,0.3323,0.7917,0.7317,0.34,-1.4063,-0.6362,0.0057,0.0174,0.0078,0.0436,0.0138,0,0,0.42,-0.57,4.4892,是,1,26.07,30.5525,-1.74,1.1618,2.0173,2.43,14803489456.76,0,0,0,1,0,1,0,0
000929.SZ, 兰州黄河,8.26,甘肃,食品饮料,1999/6/23,-0.1609,0.0842,-0.3636,0.0874,-0.1351,0.3705,0.4194,0.137,0.117,-0.0786,0.548,0.164,0.162,0.045,0,0,-0.15,0.22,3.5064,-,0,10000,0,-1.65,3.9178,-1.1434,2.36,1540000140.00,0,0,1,1,0,1,0,0
