"","Code","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1","000039.SZ"," 中集集团","9.4400","机械设备","1994-04-08",509.05392434,7.49,1.05,23.4
"2","001965.SZ"," 招商公路","10.5600","交通运输","2006-11-20",660.43773027,5.95,1.2,8.09
"3","000983.SZ"," 山西焦煤","11.6400","煤炭","2000-07-26",660.81456327,9.75,1.44,17.81
"4","000425.SZ"," 徐工机械","6.1300","机械设备","1996-08-28",724.3309815,12.13,1.36,12.27
"5","600015.SH"," 华夏银行","6.3400","银行","1993-08-27",1009.01,2.85,0.39,12.81
"6","600048.SH"," 保利发展","9.5800","房地产","1992-12-04",1146.77,13.12,0.61,-3.23
"7","002142.SZ"," 宁波银行","22.0300","银行","2008-04-18",1454.77,13.63,0.95,9.55
"8","600000.SH"," 浦发银行","7.1100","银行","2002-09-27",2086.94,6.71,0.35,7.4
"9","600028.SH"," 中国石化","6.2000","石油石化","1992-08-14",7399.65,1.88,0.95,11.11
