Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231,
000401.SZ, 冀东水泥,10.22,河北,建筑材料,1996-06-14,1.628,1.948,1.853,1.101,0.08,0.039,-1.273,0.026,0.256,0.134,1.235,1.153,0.811,0.41,0.382,0,0,1.809666667,-0.330333333,11.8564,是,1,5.647448886,70.9434572,-6.478304743,1.181969016,2.225807453,0.861981715,19202201525,0,1,0,1,1,1,1,1,14.15
000402.SZ, 金 融 街,5.86,北京,房地产,1996-06-26,0.55,0.84,1.15,1.09,1.01,0.94,0.75,0.97,0.96,0.75,0.67,0.59,0.55,0.43,0.68,0,1,0.846666667,0.893333333,12.42,是,1,6.921259843,0,-0.052238806,2.252642734,0.455596216,0.471819646,18919926311,0,1,1,1,1,1,1,1,6.45
000403.SZ, 派林生物,18.4,山西,医药生物,1996-06-28,0.553,0.3793,0.5886,0.2934,0.1405,0.1977,0.28,0.45,0.26,0.15,0.19,0.14,0.01,0.95,0.16,0,1,0.506966667,0.33,8.6308,是,1,36.29429943,0,0.536262626,3.844573714,-4.534284431,2.131899708,26638766787,0,0,1,1,0,1,0,0,38
000404.SZ, 长虹华意,5.84,江西,家用电器,1996-06-19,0.2664,0.1667,0.044,0.1037,0.152,0.4508,0.3894,0.3345,0.2985,0.3172,0.0943,0.0588,0.2688,0.0808,0.02,0,1,0.159033333,0.3408,4.9347,是,1,36.72186125,0,-0.533352895,1.330456872,5.452258137,1.183455935,2790943876,0,0,0,1,1,1,1,0,5.07
000405.SZ, ST鑫光,0,广东,-,1996-06-20,0,0,0,0,0,0,2.7772,0.0035,-0.0445,-0.0466,-0.2208,-0.04,0,0,0,0,0,0,0.912066667,0,-,0,10000,0,-1,0,0,#DIV/0!,817085086,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000406.SZ, 石油大明,0,山东,-,1996-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,3683959393,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000407.SZ, 胜利股份,3.63,山东,公用事业,1996-07-03,0.13,0.16,0.15,0.12,0.07,-0.35,0.04,0.05,0.03,-0.22,0.01,0.5,0.41,0.57,0.06,0,0,0.146666667,0.04,2.9694,是,1,24.75,0,2.666666667,0.632087366,0.492760708,1.222469186,4004385185,0,0,0,1,1,1,1,0,4.25
000408.SZ, *ST藏格,30.23,青海,化工,1996-06-28,0.72,0.11,0.18,0.6516,0.61,0.5,-0.2359,-0.219,0.0857,0.0183,0.0291,0.138,-0.62,-0.41,0.027,0,0,0.336666667,-0.123066667,4.7966,-,0,89.79207921,0,-3.735644637,2.373728083,-21.4139286,6.302380853,26836272366,0,0,1,1,0,1,0,0,8.01
000409.SZ, 山东地矿,5.54,山东,综合,1996-06-27,0.0344,0.1445,-0.8888,0.0606,-0.4401,-0.4095,0.206,-0.0662,0.27,0.27,0.0327,-0.033,-0.0807,0.0161,-0.153,0,0,-0.236633333,0.1366,0.987,-,0,10000,0,-2.732308443,1.479554269,83.12373239,5.612968592,2258315718,0,0,0,1,0,1,0,0,4.07
000410.SZ, *ST沈机,4.26,辽宁,机械设备,1996-07-18,-0.51,-0.43,-3.9,-1.03,0.15,-1.83,-0.83,0.033,0.03,0.04,0.19,0.2597,0.05,0.04,0.14,0,0,-1.613333333,-0.255666667,-0.2955,-,0,10000,0,5.31029987,0.689016621,-2.172410181,-14.41624365,6146731196,0,0,0,1,1,1,1,1,3.69
