"","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1"," 南  玻Ａ","5.47","建筑材料","1992-02-28",167.96685825,11.63829787,1.306643098,-1.795332136
"2"," 国药一致","30.72","医药生物","1993-08-09",170.97679165,9.346855984,0.815587491,5.967575026
"3"," 深圳华强","9.61","电子","1997-01-30",100.51188584,12.25556878,1.430591738,-14.72937001
"4"," 柳    工","8.36","机械设备","1993-11-18",163.12132002,14.58139535,1.035897055,24.03560831
"5"," 甘肃能化","2.95","煤炭","1994-01-06",157.87791863,8.106622699,1.081735177,-3.278688525
"6"," 北部湾港","7.93","交通运输","1995-11-02",140.51455723,13,1.102736678,5.592543276
"7"," 兴蓉环境","6.43","环保","1996-05-29",191.93526344,13.10194933,1.299331137,13.00527241
"8"," 宝新能源","5.04","公用事业","1997-01-28",109.66474824,11.63076923,0.971510081,13.76975169
"9"," 新兴铸管","3.94","钢铁","1997-06-06",157.20831577,8.584501416,0.638015351,3.141361257
"10"," 鲁西化工","9.5","基础化工","1998-08-07",182.0652353,6.15683733,1.052340072,-5.284147557
"11"," 中国重汽","15.9","汽车","1999-11-25",186.80422824,12.29381443,1.359566991,19.01197605
"12"," 中铁特货","4.04","交通运输","2004-06-25",179.55555554,2.687361419,0.979892794,-3.80952381
"13"," 宁波华翔","12.92","汽车","2007-04-20",105.18113963,10.16229255,0.948604993,-0.691775557
"14"," 青鸟消防","14.97","机械设备","2009-10-30",113.54644012,14.13375295,1.456112365,8.164739884
"15"," 三峡水利","7.18","公用事业","1993-11-19",137.29186051,5.037418148,1.243311572,-4.648074369
"16"," 振华重工","3.38","机械设备","1995-02-17",178.07034833,4.039840637,1.213949646,1.807228916
"17"," 国药现代","8.94","医药生物","2010-11-02",119.90083866,6.894601542,1.04316169,-8.682328907
