"","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1"," 南  玻Ａ",5.64,"建筑材料","1992-02-28",173.18703483,12,1.34725175,-15.94634873
"2"," 国药一致",31.63,"医药生物","1993-08-09",176.04153386,9.623732252,0.839747147,-3.830951657
"3"," 天健集团",6.06,"房地产","1999-07-21",113.2338533,6.809243792,1.076644281,10.98901099
"4"," 山东路桥",6.55,"建筑装饰","1997-06-09",102.2447011,4.909922291,0.798001949,-4.657933042
"5"," 柳    工",7.18,"机械设备","1993-11-18",140.09657465,12.52325581,0.88968192,22.10884354
"6"," 靖远煤电",3.32,"采掘","1994-01-06",153.08694194,9.123385545,1.217410436,5.732484076
"7"," 北部湾港",7.87,"交通运输","1995-11-02",139.45511223,12.90163934,1.094393147,6.49526387
"8"," 兴蓉环境",5.36,"公用事业","1996-05-29",160.02635481,10.92168716,1.083112737,9.611451943
"9"," 宝新能源",5.39,"公用事业","1997-01-28",117.28035576,12.43846154,1.038976059,-17.07692308
"10"," 新兴铸管",4.13,"钢铁","1997-06-06",164.78942745,8.998474835,0.668782589,13.15068493
"11"," 中国重汽",16.48,"汽车","1999-11-25",193.61847053,12.74226804,1.409161258,11.05121294
"12"," 传化智联",5.21,"交通运输","2004-06-29",146.01803937,10.85416667,0.84240141,-2.434456929
"13"," 达安基因",9.77,"医药生物","2004-08-09",137.11667733,3.176650373,1.213302866,-37.21079692
"14"," 宁波华翔",14.26,"汽车","2005-06-03",116.09001944,9.25974026,1.046989721,2.589928058
"15"," 利尔化学",12.81,"化工","2008-07-08",102.53600891,7.138080909,1.410466742,-28.67483296
"16"," 齐翔腾达",6.42,"化工","2010-05-18",182.50994235,12.58823529,1.36523126,-8.806818182
"17"," 云图控股",8.39,"化工","2011-01-18",101.32802363,7.890282132,1.319369093,-24.55035971
"18"," 双星新材",9.17,"轻工制造","2011-06-02",106.03070039,11.27459016,1.090835554,-28.07843137
"19"," 皖维高新",5.08,"化工","1997-05-28",109.6898682,10.09271523,1.415870008,-13.16239316
"20"," 南京高科",6.37,"房地产","1997-05-06",110.22263532,3.882568062,0.665461801,-3.63086233
"21"," 浙江医药",11.17,"医药生物","1999-10-21",107.7877075,13.9625,1.164208661,-4.448246364
"22"," 陕西建工",4.63,"建筑装饰","2000-06-22",174.49924984,4.87026648,0.928972713,10.23809524
"23"," 瀚蓝环境",17.28,"公用事业","2000-12-25",140.89198683,12.31353919,1.294585665,-6.39219935
"24"," 三房巷",2.58,"纺织服装","2003-03-06",100.52567466,14.59000943,1.48986545,-14.85148515
"25"," 中文传媒",12.53,"传媒","2002-03-04",169.78948399,8.823943662,0.971024264,30.92998955
"26"," 盘江股份",6.17,"采掘","2001-05-31",132.44675596,7.92380137,1.150025163,-8.18452381
"27"," 中化国际",5.03,"化工","2000-03-01",180.65832368,11.01459854,1.036087995,-23.903177
"28"," 华谊集团",6.51,"化工","1992-12-04",138.75736883,8.917808219,0.637479069,3.006329114
"29"," 外高桥",11.89,"房地产","1993-05-04",134.99301084,13.93359375,1.125520636,-0.50209205
"30"," 辽宁成大",12.95,"医药生物","1996-08-19",198.09742117,9.664179104,0.690029999,2.859412232
"31"," 新钢股份",4.1,"钢铁","1996-12-25",130.73763054,4.785992218,0.497144451,0.244498778
"32"," 隧道股份",5.86,"建筑装饰","1994-01-28",184.24403111,7.417721519,0.675309709,11.19544592
"33"," 明泰铝业",13.06,"有色金属","2011-09-19",139.7186529,7.021505376,1.051174321,-28.00441014
