Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231,YTDchg
601567.SH, 三星医疗,16.93,浙江,电气设备,2011-06-15,0.67,0.5,0.69,0.75,0.36,0.63,0.6,0.49,0.92,0.7,0.66,0.89,0.99,0.84,0.39,0,0,1,0.62,0.573333333,6.7289,是,1,27.30645161,52.14850207,0.081395349,1.445160664,-6.623476769,2.516013018,23652173689,0,0,0,1,0,1,0,0,6.65,24.25816024
601568.SH, 北元集团,5.08,陕西,化工,2020-10-20,0.36,0.51,0.51,0.51,0.53,0.46,0.35,0,0,0,0,0,0,0,0,0,0,0,0.46,0.27,3.4374,是,1,11.04347826,71.38341651,0.703703704,3.094290111,-2.279598703,1.477861174,20337777787,0,1,1,0,1,0,0,1,9.19,-9.700176367
601577.SH, 长沙银行,8.13,湖南,银行,2018-09-26,1.61,1/1/1900,1.47,1.48,1.42,1.28,1.04,1.0045,1.0733,0.9494,0.962,0.7783,0.68,0.66,0,0,0,1,1.543333333,1.108166667,13.49,是,1,5.267818575,20.66497017,0.39269063,0,0,0.602668643,32976740783,0,1,0,0,1,0,0,1,9.52,21.30177515
601579.SH, 会稽山,11.58,浙江,食品饮料,2014-08-25,0.3,0.59,0.6,0.34,0.36,0.37,0.33,0.28,0.33,0.41,0.42,0.37,0.2,0.35,0,0,0,1,0.496666667,0.326666667,7.41,是,1,23.31543624,99.37026963,0.520408163,2.84257677,-6.065776027,1.562753036,5676846763,0,0,1,1,0,1,0,0,13.84,-15.48893647
601588.SH, 北辰实业,2.24,北京,房地产,2006-10-16,-0.48,0.02,0.04,0.46,0.35,0.34,0.18,0.18,0.16,0.2,0.19,0.14,0.06,0.17,0.13,0.1,0,0,-0.14,0.233333333,3.7976,-,0,10000,0,-1.6,1.736494255,0.411085479,0.589846219,7474784400,0,0,0,1,1,1,1,0,2.28,8.823529412
601595.SH, 上海电影,22.43,上海,传媒,2016-08-17,-0.75,0.05,-0.96,0.37,0.63,0.69,0.75,0.69,0.58,0.5,0.37,0,0,0,0,0,0,0,-0.553333333,0.71,3.5132,-,0,10000,0,-1.779342723,2.348944598,-1.444969714,6.38449277,9936594000,0,0,1,0,0,0,0,0,10.91,102.0966272
601598.SH, 中国外运,5.7,北京,交通运输,2019-01-18,0.55,0.5,0.37,0.38,0.45,0.38,0.3726,0.3242,0,0,0,0,0,0,0,0,0,0,0.473333333,0.358933333,4.7404,是,1,12.04225352,35.77570882,0.31872214,1.366947232,19.6796281,1.202430175,40555845825,0,1,0,0,1,0,0,1,4.4,44.79166667
601599.SH, 浙文影业,3.55,浙江,传媒,2011-05-27,0.07,0.08,-1.14,-1.08,0.06,0.33,0.2,0.31,0.18,0.04,0.03,0.51,0.56,0.36,0.34,0,0,0,-0.33,0.28,1.115,-,0,10000,0,-2.178571429,1.624812678,-3.176937601,3.183856502,4108320284,0,0,0,1,0,1,0,0,2.78,8.588957055
601600.SH, 中国铝业,5.92,北京,有色金属,2007-04-30,0.239,0.286,0.028,0.037,0.044,0.09,0.02,0.01,-1.2,0.07,-0.61,0.02,0.06,-0.3435,0.0007,0.82,0,0,0.184333333,0.04,3.0535,是,1,32.11573237,14.73826467,3.608333333,0.87443885,0.475058608,1.938758801,1.08E+11,1,0,0,1,0,1,0,0,3.63,41.16331096
601601.SH, 中国太保,27.7,上海,非银金融,2007-12-25,2.56,1/2/1900,2.63,3.06,1.99,1.62,1.33,1.96,1.22,1.02,0.59,0.97,1,0.95,0,0,0,1,2.66,1.636666667,23.75,是,1,10.41353383,39.87463239,0.625254582,0,0,1.166315789,2.81E+11,1.00E+00,1,0,1,1,1,1,1,38.4,19.2903752
