"","Code","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1","601877.SH"," 正泰电器",23.29,"电气设备","2010-01-21",500.49487451,10.81578947,1.37787007,-15.92057762
"2","601699.SH"," 潞安环能",18.99,"采掘","2006-09-22",568.06860708,7.466579292,1.165617059,12.70029674
"3","000983.SZ"," 山西焦煤",10.06,"采掘","2000-07-26",571.11636654,8.422874048,1.247334226,-13.64806867
"4","601607.SH"," 上海医药",18.08,"医药生物","1994-03-24",669.55683056,10.89156627,0.996846261,1.402131239
"5","601018.SH"," 宁波港",3.45,"交通运输","2010-09-28",671.17639977,13.61842105,0.932432432,-3.631284916
"6","600089.SH"," 特变电工",14.82,"电气设备","1997-06-18",748.81162541,6.746278622,1.060518237,-26.19521912
"7","000425.SZ"," 徐工机械",6.37,"机械设备","1996-08-28",752.68978012,12.60803589,1.41338836,25.64102564
"8","600039.SH"," 四川路桥",8.67,"建筑装饰","2003-03-25",755.64062691,6.917553191,1.291620112,-22.0323741
"9","000100.SZ"," TCL科技",4.08,"电子","2004-01-30",766,11.37018114,1.374431531,9.677419355
"10","000338.SZ"," 潍柴动力",12.53,"汽车","2007-04-30",1090,13.28268551,1.494085663,23.08447937
"11","601336.SH"," 新华保险",36.83,"非银金融","2011-12-16",1150,8.825079872,1.116737417,22.44015957
"12","600018.SH"," 上港集团",5.15,"交通运输","2006-10-26",1200,8.907979705,1.067534513,-3.558052434
"13","600019.SH"," 宝钢股份",6.09,"钢铁","2000-12-12",1360,8.304545455,0.696796339,8.944543828
"14","600585.SH"," 海螺水泥",26.03,"建筑材料","2002-02-07",1380,4.920604915,0.751226551,-4.930606282
"15","600188.SH"," 兖州煤业",20.25,"采掘","1998-07-01",1510,5.49788682,1.229784469,-39.69624777
"16","600048.SH"," 保利地产",12.74,"房地产","2006-07-31",1530,6.125,0.814380138,-15.79643093
"17","002142.SZ"," 宁波银行",26.87,"银行","2007-07-19",1770,9.016778523,1.16119274,-17.19568567
"18","601601.SH"," 中国太保",28.59,"非银金融","2007-12-25",2750,10.7481203,1.203789474,16.59869494
"19","600036.SH"," 招商银行",32.97,"银行","2002-04-09",8310,7.240849195,1.00794864,-11.5136876
"20","601318.SH"," 中国平安",48.3,"非银金融","2007-03-01",8800,7.836668469,1.028315946,2.765957447
