Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231
000017.SZ, *ST中华A,4.67,广东,汽车,1992-03-31,-0.013,-0.0036,0.0069,-0.013,-0.0029,0.003,0.0047,-0.0003,0.0089,2.857,-0.0951,0.072,0.1169,-0.2206,-0.0936,0.1314,0,0,-0.003233333,0.002466667,0.421,-,0,10000,0,-2.310810811,4.307935165,-5.400883385,11.09263658,3218493637,0,0,1,1,0,1,0,0,2.41
000018.SZ, 神城A退,0,北京,-,1992-06-16,0,0,0,0,-1.004,0.22,0.28,1.5,0.0254,0.0486,0,-0.1,0.02,0.07,-0.15,-0.69,0,0,0,0.666666667,0,-,0,10000,0,-1,0,0,#DIV/0!,458526153,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000019.SZ, 深粮控股,7.78,广东,商业贸易,1992-10-12,0.3649,0.372,0.3515,0.3154,0.2675,-0.1089,0.2139,-0.1171,0.0443,0.174,0.297,0.0323,0.031,-0.07,0.07,0.24,0,0,0.3628,-0.004033333,4.1326,是,1,21.44432194,68.50625939,-90.95041322,1.676224399,3.214753265,1.882592073,8966724276,0,0,0,1,0,1,0,0,7.5
000020.SZ, 深华发Ａ,11.91,广东,电子,1992-04-28,0.0358,0.0254,0.0241,0.0193,0.0116,0.0034,0.0193,-0.0238,0.0271,-0.023,0.0115,0.0385,0.0324,0.0147,0.0267,0.0913,0,0,0.028433333,-0.000366667,1.2487,-,0,418.8745604,0,-78.54545455,1.707442694,32.91859668,9.537919436,3372450214,0,0,0,1,0,1,0,0,9.99
000021.SZ, 深科技,19.78,广东,电子,1994-02-02,0.4223,0.5065,0.5826,0.2395,0.3603,0.3679,0.1457,0.1228,0.1332,0.171,0.0709,0.1906,0.2913,0.29,0.3598,0.8064,0,1,0.5038,0.212133333,6.6122,是,1,39.26161175,30.78302446,1.374921433,1.241041544,2.727496788,2.991440065,30868422491,0,0,0,1,0,1,0,0,19.01
000023.SZ, 深天地Ａ,6.51,广东,建筑材料,1993-04-29,-1.9511,-0.3822,-0.0573,0.3663,0.1897,0.2198,0.0717,0.1926,0.1243,0.1083,0.0373,0.0668,0.0948,0.177,0.1536,0.1453,0,0,-0.796866667,0.161366667,1.0093,-,0,10000,0,-5.938235902,0.999864538,-1.372950825,6.450014862,903303122.4,0,0,0,1,0,1,0,0,16.3
000024.SZ, 招商地产,0,广东,-,1993-06-07,0,0,0,0,0,0,0,0,1.66,2.447,1.9323,1.5092,1.17,0.9574,0.9408,1.52,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,1.04E+11,1.00E+00,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000025.SZ, 特  力Ａ,17.06,广东,汽车,1993-06-21,0.1937,0.304,0.1338,0.5096,0.2924,0.2249,0.0915,0.1538,0.047,0.0313,0.0324,0.0098,0.0163,0.0286,0.02,0.05,0,1,0.2105,0.156733333,3.4929,是,1,81.04513064,14.45531925,0.343045513,2.108290085,-6.52405313,4.88419365,7353854939,0,0,1,1,0,1,0,0,16.9
000026.SZ, 飞亚达,12.19,广东,轻工制造,1993-06-03,0.6398,0.9036,0.6764,0.4943,0.419,0.3196,0.2522,0.3099,0.371,0.331,0.295,0.406,0.377,0.281,0.259,0.244,0,1,0.739933333,0.2939,7.5101,是,1,16.47445716,39.05699901,1.517636384,3.136248068,39.10866225,1.623147495,5062264297,0,0,1,1,0,1,0,0,11.43
000027.SZ, 深圳能源,6.73,广东,公用事业,1993-09-03,0.3,0.32,0.78,0.43,0.17,0.19,0.34,0.45,0,0,0,0.43,0.64,0.91,0.47,0.79,0,0,0.466666667,0.326666667,5.9269,是,1,14.42142857,30.29340614,0.428571429,1.021440167,0.51210728,1.135500852,32017234135,0,1,0,1,1,1,1,1,6.09
000028.SZ, 国药一致,35.33,广东,医药生物,1993-08-09,3.47,1/3/1900,3.27,2.97,2.83,2.47,2.8,2.1,1.9,1.81,1.65,1.15,0.91,0.67,0.537,0.434,0,1,3.286666667,2.456666667,37.6661,是,1,10.7494929,23.03758818,0.337856174,1.507934711,3.091685411,0.937978713,19663444170,0,1,0,1,1,1,1,1,45.8
000029.SZ, 深深房Ａ,11.91,广东,房地产,1993-09-15,0.1519,0.2183,0.2869,0.5461,0.4977,0.1829,0.308,0.2977,0.2946,0.2256,0.1056,0.1,0.0838,0.02,0.0189,0.0288,0,1,0.219033333,0.262866667,3.9581,是,1,54.37528534,40.14555003,-0.166751205,3.721228502,-150.9200378,3.009019479,12048870600,0,0,1,1,0,1,0,0,7.14
000030.SZ, 富奥股份,5.44,吉林,汽车,1993-09-29,0.29,0.48,0.52,0.5,0.49,0.64,0.52,0.39,0.48,0.44,-0.0128,5.0484,3.6934,0.0281,-0.2952,-0.0765,0,1,0.43,0.516666667,4.1264,是,1,12.65116279,85.82549601,-0.167741935,1.369768671,-74.12510169,1.318340442,9474538382,0,1,0,1,1,1,1,1,7.34
000031.SZ, 大悦城,4.33,广东,房地产,1993-10-08,-0.67,0.03,-0.09,0.61,0.77,0.52,0.4,0.4,0.33,0.29,0.28,0.23,0.26,0.21,0.08,0.61,0,0,-0.243333333,0.44,3.5934,-,0,10000,0,-1.553030303,1.522012211,0.169300039,1.20498692,18559736758,0,0,0,1,1,1,1,0,4.4
000032.SZ, 深桑达Ａ,29.4,广东,通信,1993-10-28,-0.1425,0.3651,0.36,0.32,0.26,0.06,0.14,0.16,0.09,0.04,0.77,0.12,0.123,0.175,0.31,0.449,0,0,0.1942,0.12,4.8946,是,1,151.3903193,-56.10729113,0.618333333,1.2040185,0.362649,6.00661954,33456001480,0,0,0,1,0,1,0,0,17.9
000033.SZ, 新都退,0,广东,-,1994-01-03,-0.0249,0,0,0,0,0,0.01,0.21,-1.3647,0.0106,-0.0773,0.0085,0.0127,-0.073,0.0107,0.0057,0,0,-0.0083,0.073333333,0,-,0,10000,0,-1.113181818,0,0,#DIV/0!,730524059.5,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000034.SZ, 神州数码,25.22,广东,计算机,1994-05-09,1.5601,0.3677,0.9509,1.074,0.7834,1.1053,0.67,0.06,0.17,0.05,0.01,0.05,1.39,0.37,-0.72,-0.8,0,1,0.959566667,0.611766667,11.3725,是,1,26.28269705,28.99469894,0.568517409,1.179091622,0.311763719,2.217630248,16878096108,0,0,0,1,0,1,0,0,21.46
000035.SZ, 中国天楹,5.17,江苏,公用事业,1994-04-08,0.05,0.2919,0.26,0.3018,0.1602,0.1729,0.1709,0.37,0.35,5.99,-3.37,-0.15,0.31,-0.12,-0.0664,0.79,0,1,0.200633333,0.237933333,4.0777,-,0,25.76840007,0,-0.156766601,0.706885,-0.606536517,1.267871594,13047928625,0,0,0,1,1,1,1,0,4.11
000036.SZ, 华联控股,4.35,广东,房地产,1994-06-17,0.29,0.27,0.37,0.551,0.849,1.177,1.18,0.0612,0.0306,0.071,0.0525,0.0618,0.2053,0.2505,-0.353,-0.34,0,1,0.31,0.806066667,3.5751,是,1,14.03225806,11.57867831,-0.615416425,2.999228492,-1.519459178,1.216749182,6455113009,0,1,1,1,1,1,1,1,3.98
000037.SZ, 深南电A,10.49,广东,公用事业,1994-07-01,-0.2657,-0.7291,0.1062,0.04,0.03,0.03,2.17,-1.05,-0.55,0.09,0,0,-0.19,0.12,0.02,0.22,0,0,-0.2962,0.383333333,2.4141,-,0,10000,0,-1.772695652,1.463134906,3.813093413,4.345304668,6322979632,0,0,0,1,0,1,0,0,10.92
000038.SZ, 深大通,0,广东,传媒,1994-08-08,0,-1.21,0.1521,0.2341,-4.4946,0.6706,0.9278,0.062,-0.51,0.021,0.0216,0.02,0.28,0.22,1.7,0.18,0,0,-0.352633333,0.553466667,0,-,0,10000,0,-1.63713563,0,0,#DIV/0!,271844257.9,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,9.6
000039.SZ, 中集集团,7.3,广东,机械设备,1994-04-08,0.57,1/1/1900,1.41,0.37,1.1,0.81,0.14,0.71,0.92,0.81,0.73,1.37,1.13,0.36,0.53,1.19,0,1,1.26,0.553333333,9.01,是,1,5.793650794,0,1.277108434,1.222007013,1.338201155,0.810210877,39365398811,0,1,0,1,1,1,1,1,14.99
000040.SZ, 东旭蓝天,4.23,广东,公用事业,1994-08-08,-0.208,-0.397,-0.6866,-0.6435,0.83,0.41,0.19,0.13,0.11,0.22,0.41,0.3,0.21,0.14,-0.24,0.16,0,0,-0.430533333,0.243333333,7.5758,-,0,10000,0,-2.769315068,1.403182,2.001404999,0.558356873,6289476470,0,0,0,1,1,1,1,0,3.49
000042.SZ, 中洲控股,8.26,广东,房地产,1994-09-21,0.1198,0.3097,0.4232,1.184,0.6719,0.9256,0.3959,0.8377,0.6381,1.6934,1.72,1.3325,1.5114,1.1135,0.0283,0.8427,0,1,0.284233333,0.719733333,12.1907,是,1,29.06063094,10.01465487,-0.605085217,1.723815759,0.32942549,0.677565685,5491505208,0,0,0,1,1,1,1,1,9.14
000045.SZ, 深纺织Ａ,10.48,广东,电子,1994-08-15,0.14,0.12,0.07,0.04,-0.04,0.1,-0.17,0.02,-0.22,0.1,-0.24,0.15,0.14,0.16,0.19,0.05,0,0,0.11,-0.016666667,5.6252,是,1,95.27272727,41.45634929,-7.6,3.399381954,-10.15495417,1.86304487,5308348978,0,0,1,1,0,1,0,0,7.17
000046.SZ, 泛海控股,1.35,北京,非银金融,1994-09-12,-2.2202,-2.1659,-0.8894,0.2107,0.1791,0.5564,0.6045,0.4433,0.342,0.2592,0.1716,0.0566,0.054,0.177,0.094,0.853,0,0,-1.7585,0.534733333,-1.0512,-,0,10000,0,-4.288555043,0.736674103,-0.189735009,-1.284246575,7014870886,0,0,0,1,1,1,1,1,3.28
000047.SZ, ST中侨,0,广东,-,1994-10-21,0,0,0,0,0,0,0,0,0,0,0,-0.3127,0,0.1662,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,966848793.5,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000048.SZ, 京基智农,20.16,广东,农林牧渔,1994-11-01,1.4775,0.7441,2.153,2.735,1.1193,0.7083,0.0153,0.52,0.29,-0.0231,0.0709,1.2361,-0.1207,0.1171,0.0924,0.062,0,0,1.4582,0.414533333,5.0127,是,1,13.82526402,67.68295227,2.517690576,0.69200059,0.165681648,4.021784667,10548503280,0,1,0,1,0,1,0,0,22.9
000049.SZ, 德赛电池,34.56,广东,电子,1995-03-20,2.8868,1/2/1900,3.2321,2.4409,1.9556,1.4643,1.2439,1.1217,1.1428,1.5057,1.0498,0.872,0.5216,-0.2605,0.0114,0.0522,0,1,2.9204,1.276633333,13.6554,是,1,11.83399534,22.46587773,1.28757931,1.393264555,1.16290545,2.53086691,10346809951,0,1,0,1,0,1,0,0,67.6
