Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231,YTDchg,YTD_AVG
000001.SZ, 平安银行,9.66,广东省,银行,1991-04-03,2.2,1.73,1.4,1.45,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,1.776666667,0,18.8,是,1,5.437148218,12.15108245,-999,0,0,0.513829787,2.17E+11,1.00E+00,1,0,1,1,1,1,1,19.34,-24.97087415,12.32230394
000002.SZ, 万  科Ａ,11.4,广东,房地产,1991-01-29,1.95,1.94,3.62,3.47,3.06,2.54,1.9,1.64,1.43,1.37,1.14,0.88,0.66,0.48,0.37,0.73,0,1,2.503333333,2.026666667,21,是,1,4.553928096,35.65015176,0.235197368,1.313188268,0.280332569,0.542857143,1.56E+11,1.00E+00,1,0,1,1,1,1,1,28.7,-34.95045024,14.71399468
000003.SZ, PT金田A,0,广东,-,1991-07-03,0.0136,0,0,0,0,0,0,0,-0.039,-0.04,0,0,-0.051,-0.056,0,0,0,0,0.004533333,0,0,-,0,0,0,-999,0,0,#DIV/0!,2080625564,0,1,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000004.SZ, 国华网安,17.92,广东,医药生物,1991-01-14,-4.0666,-3.1566,0.3915,0.0369,-0.2414,0.102,0.468,0.0149,0.05,-0.0123,0.0239,0.0356,0.1384,0.0294,-0.1324,-0.1104,0,0,-2.277233333,0.194966667,2.6534,-,0,10000,0,-12.68011626,2.412154007,-2.789825847,6.753599156,2122055920,0,0,1,1,0,1,0,0,20.7,85.12396694,17.09019043
000005.SZ, ST星源,1.4,广东,公用事业,1990-12-10,-0.1474,0.1313,-0.366,0.0629,0.1406,0.0145,0.1026,-0.0596,0.0472,-0.0463,0.0241,0.0125,0.005,-0.054,0.01,0.08,0,0,-0.127366667,0.019166667,1.1455,-,0,10000,0,-7.645217391,1.825074624,18.96315729,1.222173723,1534878421,0,0,0,1,1,1,1,0,2.53,-24.7311828,1.419530832
000006.SZ, 深振业Ａ,4.67,广东,房地产,1992-04-27,0.3108,0.4013,0.6405,0.5935,0.6476,0.5968,0.5767,0.3087,0.3763,0.5156,0.48,0.4388,0.633,0.64,0.2962,1.02,0,1,0.450866667,0.494066667,5.8532,是,1,10.35782937,30.24160191,-0.087437593,2.025056067,0.859267994,0.797854165,6128977509,0,1,1,1,1,1,1,1,5.61,-24.75024183,5.279020361
000007.SZ, *ST全新,5.02,广东,商业贸易,1992-04-13,-0.02,0.1154,-0.3548,0.0643,-0.57,0.0475,0.3378,0.0606,-0.1307,0.1007,0.0378,0.0269,0.064,0.1413,-0.331,0.0625,0,0,-0.086466667,0.148633333,0.2613,-,0,10000,0,-1.581744786,1.866686292,-0.636522231,19.21163414,1559016198,0,0,0,1,0,1,0,0,6.97,-35.47557841,5.672540408
000008.SZ, 神州高铁,2.47,北京,机械设备,1992-05-07,-0.31,-0.55,-0.33,0.161,0.116,0.311,0.192,0.078,0.03,0.07,0.26,-0.0073,0.0121,0.0043,0.01,0.02,0,0,-0.396666667,0.193666667,1.5737,-,0,10000,0,-3.048192771,0.858904858,0.307068805,1.569549469,6627961547,0,0,0,1,0,1,0,0,2.54,7.391304348,2.427332542
000009.SZ, 中国宝安,11.5,广东,综合,1991-06-25,0.45,0.4,0.26,0.12,0.1,0.06,0.11,0.5,0.2,0.23,0.15,0.25,0.3,0.23,0.19,0.24,0,1,0.37,0.223333333,3.5413,是,1,31.08108108,7.805120323,0.656716418,1.446187772,0.596586323,3.247395024,26875409515,0,0,0,1,0,1,0,0,7.53,-4.60389892,11.6337064
000010.SZ, 美丽生态,3.45,广东,建筑装饰,1995-10-27,-0.5704,0.0286,0.0486,0.0567,-0.8922,-1.2947,0.0486,0.0542,-0.1268,0.0053,0.01,0.03,-0.01,0.05,0.11,-0.2,0,0,-0.1644,-0.3973,0.6666,-,0,10000,0,-0.586206897,1.039356505,1.502244085,5.175517552,3737183791,0,0,0,1,0,1,0,0,3.91,-8,3.293304379
000011.SZ, 深物业A,9.43,广东,房地产,1992-03-30,0.9022,1/1/1900,1.3399,1.3722,0.9945,1.0453,0.5954,0.2631,0.7005,0.5048,0.6299,0.43,0.2936,0.1626,0.0181,-0.0505,0,1,1.3089,0.6346,7.4039,是,1,7.204522882,40.01535766,1.062559092,1.827913155,0.921203953,1.273653075,5822715729,0,1,0,1,1,1,1,1,12.17,-16.02101643,10.40381605
000012.SZ, 南  玻Ａ,5.58,广东,建筑材料,1992-02-28,0.66,0.5,0.25,0.17,0.16,0.35,0.38,0.3,0.42,0.74,0.13,0.57,0.7,0.68,0.35,0.41,0,1,0.47,0.343333333,4.1863,是,1,11.87234043,22.60962354,0.368932039,1.244411275,2.73925449,1.332919284,17318703483,0,1,0,1,1,1,1,1,7.38,-14.93902378,6.403902333
000013.SZ, *ST石化A,0,广东,-,1992-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,749286798.1,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000014.SZ, 沙河股份,11.61,广东,房地产,1992-06-02,1.03,0.18,0.02,0.1,0.7238,0.0378,0.1418,0.2626,0.3013,0.1426,0.1386,0.2692,0.35,0.3977,0.216,0.014,0,1,0.41,0.1474,4.82,是,1,28.31707317,11.67995125,1.781546811,1.527373436,1.740704392,2.408713693,2931179773,0,0,0,1,0,1,0,0,8.28,15.29294933,12.22630122
000015.SZ, PT中浩A,0,广东,-,1992-06-25,0,0,0,0,0,0,0,0,0,-0.3533,-0.3528,-0.3525,-0.352,-0.3526,-0.36,-0.35,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,954285459.4,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000016.SZ, 深康佳Ａ,4.18,广东,家用电器,1992-03-27,-0.6111,0.376,0.1984,0.0881,0.1708,2.1001,0.0397,-0.52,0.0437,0.0375,0.0381,0.0207,0.0697,0.1255,0.2083,0.348,0,0,-0.012233333,0.539933333,3.173,-,0,10000,0,-1.022657118,1.181701765,0.283211842,1.317365269,10354165254,0,0,0,1,1,1,1,0,6.61,-7.317073171,4.737349744
000017.SZ, *ST中华A,4.44,广东,汽车,1992-03-31,-0.013,-0.0036,0.0069,-0.013,-0.0029,0.003,0.0047,-0.0003,0.0089,2.857,-0.0951,0.072,0.1169,-0.2206,-0.0936,0.1314,0,0,-0.003233333,0.002466667,0.421,-,0,10000,0,-2.310810811,4.307935165,-5.400883385,10.54631829,3059981103,0,0,1,1,0,1,0,0,2.41,-6.722689076,4.660417335
000018.SZ, 神城A退,0,北京,-,1992-06-16,0,0,0,0,-1.004,0.22,0.28,1.5,0.0254,0.0486,0,-0.1,0.02,0.07,-0.15,-0.69,0,0,0,0.666666667,0,-,0,10000,0,-1,0,0,#DIV/0!,458526153,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000019.SZ, 深粮控股,7.52,广东,商业贸易,1992-10-12,0.3649,0.372,0.3515,0.3154,0.2675,-0.1089,0.2139,-0.1171,0.0443,0.174,0.297,0.0323,0.031,-0.07,0.07,0.24,0,0,0.3628,-0.004033333,4.1326,是,1,20.72767365,68.50625939,-90.95041322,1.676224399,3.214753265,1.819677685,8413507354,0,0,0,1,0,1,0,0,7.5,3.581267218,7.754788476
000020.SZ, 深华发Ａ,12.67,广东,电子,1992-04-28,0.0358,0.0254,0.0241,0.0193,0.0116,0.0034,0.0193,-0.0238,0.0271,-0.023,0.0115,0.0385,0.0324,0.0147,0.0267,0.0913,0,0,0.028433333,-0.000366667,1.2487,-,0,445.6037515,0,-78.54545455,1.707442694,32.91859668,10.14655241,3332807642,0,0,0,1,0,1,0,0,9.99,41.88129899,11.83460007
000021.SZ, 深科技,17.05,广东,电子,1994-02-02,0.4223,0.5065,0.5826,0.2395,0.3603,0.3679,0.1457,0.1228,0.1332,0.171,0.0709,0.1906,0.2913,0.29,0.3598,0.8064,0,1,0.5038,0.212133333,6.6122,是,1,33.84279476,30.78302446,1.374921433,1.241041544,2.727496788,2.578566892,26857712389,0,0,0,1,0,1,0,0,19.01,61.45833207,18.62216834
000023.SZ, 深天地Ａ,6.22,广东,建筑材料,1993-04-29,-1.9511,-0.3822,-0.0573,0.3663,0.1897,0.2198,0.0717,0.1926,0.1243,0.1083,0.0373,0.0668,0.0948,0.177,0.1536,0.1453,0,0,-0.796866667,0.161366667,1.0093,-,0,10000,0,-5.938235902,0.999864538,-1.372950825,6.162687011,858901125.6,0,0,0,1,0,1,0,0,16.3,-54.82933914,8.307954935
000024.SZ, 招商地产,0,广东,-,1993-06-07,0,0,0,0,0,0,0,0,1.66,2.447,1.9323,1.5092,1.17,0.9574,0.9408,1.52,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,1.04E+11,1.00E+00,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000025.SZ, 特  力Ａ,16.7,广东,汽车,1993-06-21,0.1937,0.304,0.1338,0.5096,0.2924,0.2249,0.0915,0.1538,0.047,0.0313,0.0324,0.0098,0.0163,0.0286,0.02,0.05,0,1,0.2105,0.156733333,3.4929,是,1,79.33491686,14.45531925,0.343045513,2.108290085,-6.52405313,4.78112743,6672782794,0,0,1,1,0,1,0,0,16.9,-2.464665328,18.1236717
000026.SZ, 飞亚达,11.89,广东,轻工制造,1993-06-03,0.6398,0.9036,0.6764,0.4943,0.419,0.3196,0.2522,0.3099,0.371,0.331,0.295,0.406,0.377,0.281,0.259,0.244,0,1,0.739933333,0.2939,7.5101,是,1,16.06901523,39.05699901,1.517636384,3.136248068,39.10866225,1.583201289,4842010072,0,0,1,1,0,1,0,0,11.43,16.68302221,11.85738856
000027.SZ, 深圳能源,6.14,广东,公用事业,1993-09-03,0.3,0.32,0.78,0.43,0.17,0.19,0.34,0.45,0,0,0,0.43,0.64,0.91,0.47,0.79,0,0,0.466666667,0.326666667,5.9269,是,1,13.15714286,30.29340614,0.428571429,1.021440167,0.51210728,1.035954715,30352147664,0,1,0,1,1,1,1,1,6.09,-1.286173732,6.484686072
000028.SZ, 国药一致,30.48,广东,医药生物,1993-08-09,3.47,1/3/1900,3.27,2.97,2.83,2.47,2.8,2.1,1.9,1.81,1.65,1.15,0.91,0.67,0.537,0.434,0,1,3.286666667,2.456666667,37.6661,是,1,9.273833671,23.03758818,0.337856174,1.507934711,3.091685411,0.809215714,17604153386,0,1,0,1,1,1,1,1,45.8,23.47771679,39.56591979
000029.SZ, 深深房Ａ,12.79,广东,房地产,1993-09-15,0.1519,0.2183,0.2869,0.5461,0.4977,0.1829,0.308,0.2977,0.2946,0.2256,0.1056,0.1,0.0838,0.02,0.0189,0.0288,0,1,0.219033333,0.262866667,3.9581,是,1,58.39293867,40.14555003,-0.166751205,3.721228502,-150.9200378,3.231348374,12099453600,0,0,1,1,0,1,0,0,7.14,-7.51319694,12.15247306
