"","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1"," 中集集团",6.68,"机械设备","1994-04-08",382.86894734,5.301587302,0.741398446,0.852272727
"2"," 鲁西化工",10.99,"化工","1998-08-07",217.63571765,7.122488658,1.217391304,-8.635996772
"3"," 冀中能源",6.35,"采掘","1999-09-09",238.16105769,8.432934927,1.062405889,5.974842767
"4"," 越秀金控",6.47,"非银金融","2000-07-18",335.64616171,6.825854551,1.202334052,11.68614357
"5"," 招商港口",15.62,"交通运输","1993-05-05",398.60240843,11.48529412,0.719321756,11.0724234
"6"," 太阳纸业",12.26,"轻工制造","2006-11-16",342.62827299,12.68275862,1.484261501,6.423611111
"7"," 露天煤业",13.48,"采掘","2007-04-18",308.44051264,8.088,1.102640448,11.50729335
"8"," 滨江集团",8.17,"房地产","2008-05-29",298.38746905,8.393835616,1.08013062,8.607021518
"9"," 天山铝业",6.44,"机械设备","2010-12-31",304.69849468,10.16842105,1.311769259,-15.15544041
"10"," 首创股份",2.75,"公用事业","2000-04-27",208.47277523,8.398656215,1.078219957,0.35335689
"11"," 兴发集团",19.64,"化工","1999-06-16",219.77810717,6.1375,1.082397809,-31.82758621
"12"," 金发科技",7.69,"化工","2004-06-23",212.31005916,7.218623862,1.236215156,-17.54385965
"13"," 永泰能源",1.36,"采掘","1998-05-13",308.82692162,12.15370867,0.686452655,-9.150326797
"14"," 南山铝业",3.06,"有色金属","1999-12-23",367.64855943,12.24,0.794371901,-3.975535168
"15"," 鄂尔多斯",9.27,"采掘","2001-04-26",256.36790487,3.607003891,0.907355748,-39.69716919
"16"," 华发股份",8.04,"房地产","2004-02-25",202.82403491,6.662983425,0.95316001,5.739514349
"17"," 华阳股份",7.99,"采掘","2003-08-21",303.7515,4.774900398,0.756249231,-40.9122807
"18"," 浙江龙盛",8.84,"化工","2003-08-01",302.23452979,8.060790274,0.894076239,-6.161616162
"19"," 金地集团",5.02,"房地产","2001-04-12",307.89459961,2.628272251,0.347683954,-33.33333333
"20"," 深高速",9.68,"交通运输","2001-12-25",217.85895557,10.05540166,1.216967137,11.24721604
"21"," 天地科技",5.15,"机械设备","2002-05-15",224.72537684,12.98319328,1.046216353,4.423076923
"22"," 豫园股份",6.46,"商业贸易","1992-09-02",289.78395658,6.646090535,0.706196161,-2.23390276
"23"," 华新水泥",14.44,"建筑材料","1994-01-03",311.22564866,6.613740458,1.103056322,1.012145749
"24"," 九州通",7.24,"医药生物","2010-11-02",302.38069008,5.583547558,0.604098525,-16.94785276
"25"," 中国化学",6.96,"建筑装饰","2010-01-07",475.31681175,8.557377049,0.803973663,-2.01511335
"26"," 君正集团",3.99,"化工","2011-02-22",345.11491125,7.477044163,1.309656666,2.506265664
"27"," 桐昆股份",14.3,"化工","2011-05-18",355.64012522,9.305856833,0.993690413,2.076124567
"28"," 郑煤机",12.8,"汽车","2010-08-03",232.89175048,11.72877214,1.281088926,17.20430108
"29"," 和邦生物",2.37,"化工","2012-07-31",206.65125534,8.877512798,1.094738787,-23.02631579
