"","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1"," 中集集团",8.36,"机械设备","1994-04-08",450.81470419,6.634920635,0.927857936,9.281045752
"2"," 冀中能源",7.69,"采掘","1999-09-09",271.72975277,10.2124834,1.286598628,7.703081232
"3"," 越秀金控",6.02,"非银金融","2000-07-18",302.03137421,6.351104234,1.118709582,0
"4"," 招商港口",16.99,"交通运输","1993-05-05",424.5927849,12.49264706,0.782412077,6.453634085
"5"," 太阳纸业",12.36,"轻工制造","2006-11-16",345.40923751,12.7862069,1.496368039,1.561216105
"6"," 中材科技",15.2,"化工","2006-11-20",255.07478477,8.562897865,1.476616993,-4.522613065
"7"," 露天煤业",14.95,"采掘","2007-04-18",335.1152372,8.97,1.222883879,4.765241766
"8"," 滨江集团",7.28,"房地产","2008-05-29",226.51311519,7.479452055,0.962466452,0.137551582
"9"," 天山铝业",5.53,"机械设备","2010-12-31",257.24926345,8.731578947,1.126410559,-7.986688852
"10"," 永泰能源",1.35,"采掘","1998-05-13",299.93981596,12.06434316,0.681405209,-1.459854015
"11"," 中国巨石",9.56,"化工","1999-04-22",382.6998712,7.455159865,1.386713084,-2.746693795
"12"," 南山铝业",2.96,"有色金属","1999-12-23",346.5731643,11.84,0.768412035,0.680272109
"13"," 鄂尔多斯",10.13,"采掘","2001-04-26",283.51603453,3.941634241,0.991533304,4.432989691
"14"," 白云山",28.35,"医药生物","2001-02-06",460.91173404,13.04247815,1.437626775,-0.874125874
"15"," 华阳股份",10,"采掘","2003-08-21",360.75,5.976095618,0.946494657,2.459016393
"16"," 浙江龙盛",7.94,"化工","2003-08-01",258.31454968,7.240121581,0.803050378,-5.476190476
"17"," 金地集团",4.49,"房地产","2001-04-12",202.70480238,2.35078534,0.310976285,2.981651376
"18"," 深高速",9.38,"交通运输","2001-12-25",204.55625658,9.743767313,1.179251213,4.338153504
"19"," 天地科技",5.82,"机械设备","2002-05-15",240.86587351,14.67226891,1.182326054,6.985294118
"20"," 豫园股份",6.45,"商业贸易","1992-09-02",251.29816962,6.635802469,0.705102978,3.8647343
"21"," 华新水泥",12.47,"建筑材料","1994-01-03",259.25075743,5.711450382,0.952570106,0.321802092
"22"," 九州通",7.16,"医药生物","2010-11-02",279.87664243,5.5218509,0.597423403,2.139800285
"23"," 中国化学",6.6,"建筑装饰","2010-01-07",403.22505881,8.114754098,0.762388818,3.773584906
"24"," 君正集团",3.68,"化工","2011-02-22",310.51903995,6.896120932,1.207903893,-1.604278075
"25"," 桐昆股份",13.01,"化工","2011-05-18",313.68664604,8.46637744,0.90404981,-14.01189689
"26"," 郑煤机",13.5,"汽车","2010-08-03",241.04762055,12.37018937,1.351148476,6.719367589
"27"," 正泰电器",20.28,"电气设备","2010-01-21",435.81090833,9.417956656,1.199794118,-5.718270572
"28"," 和邦生物",2.37,"化工","2012-07-31",209.3006304,8.877512798,1.094738787,0.423728814
