Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231,YTDchg,YTD_AVG
000001.SZ, 平安银行,10.4900,广东省,银行,1991-04-03,2.2000 ,1.7300 ,1.4000 ,1.4500 ,1.3900 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0,1.78,0.00,18.8000,是,1,5.90,12.1511,-999.00 ,0.0000,0.0000,0.56,2.03568E+11,1,1,0,1,1,1,1,1,19.3400,11.71 ,9.85 
000002.SZ, 万  科Ａ,9.8900,广东省,房地产,1991-01-29,1.9500 ,1.9400 ,3.6200 ,3.4700 ,3.0600 ,2.5400 ,1.9000 ,1.6400 ,1.4300 ,1.3700 ,1.1400 ,0.8800 ,0.6600 ,0.4800 ,0.3700 ,0.7300 ,0.0000 ,1,2.50,2.03,21.0000,是,1,3.95,35.6502,0.24 ,1.3132,0.2803,0.47,1.17995E+11,1,1,0,1,1,1,1,1,28.7000,-5.45 ,9.79 
000003.SZ, PT金田A,0.0000,广东省,-,1991-07-03,0.0136 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,-0.0390,-0.0400,0.0000 ,0.0000 ,-0.0510,-0.0560,0.0000 ,0.0000 ,0.0000 ,0,0.00,0.00,0.0000,-,0,0.00,0.0000,-999.00 ,0.0000,0.0000,#DIV/0!,2080625564,0,1,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000,0.00 ,0.00 
000004.SZ, 国华网安,12.7900,广东省,计算机,1991-01-14,-4.0666,-3.1566,0.3915 ,0.0369 ,-0.2414,0.1020 ,0.4680 ,0.0149 ,0.0500 ,-0.0123,0.0239 ,0.0356 ,0.1384 ,0.0294 ,-0.1324,-0.1104,0.0000 ,0,-2.28,0.19,2.6534,-,0,10000.00,0.0000,-12.68 ,2.4122,-2.7898,4.82,1693143807,0,0,1,1,0,1,0,0,20.7000,-20.71 ,13.59 
000005.SZ, ST星源,0.9200,广东省,环保,1990-12-10,-0.1474,0.1313 ,-0.3660,0.0629 ,0.1406 ,0.0145 ,0.1026 ,-0.0596,0.0472 ,-0.0463,0.0241 ,0.0125 ,0.0050 ,-0.0540,0.0100 ,0.0800 ,0.0000 ,0,-0.13,0.02,1.1455,-,0,10000.00,0.0000,-7.65 ,1.8251,18.9632,0.80,973853894.6,0,0,0,1,1,1,1,0,2.5300,-14.02 ,0.90 
000006.SZ, 深振业Ａ,4.1500,广东省,房地产,1992-04-27,0.3108 ,0.4013 ,0.6405 ,0.5935 ,0.6476 ,0.5968 ,0.5767 ,0.3087 ,0.3763 ,0.5156 ,0.4800 ,0.4388 ,0.6330 ,0.6400 ,0.2962 ,1.0200 ,0.0000 ,1,0.45,0.49,5.8532,是,1,9.20,30.2416,-0.09 ,2.0251,0.8593,0.71,5602479441,0,1,1,1,1,1,1,1,5.6100,-9.59 ,4.31 
000007.SZ, *ST全新,3.9300,广东省,商贸零售,1992-04-13,-0.0200,0.1154 ,-0.3548,0.0643 ,-0.5700,0.0475 ,0.3378 ,0.0606 ,-0.1307,0.1007 ,0.0378 ,0.0269 ,0.0640 ,0.1413 ,-0.3310,0.0625 ,0.0000 ,0,-0.09,0.15,0.2613,-,0,10000.00,0.0000,-1.58 ,1.8667,-0.6365,15.04,1361540813,0,0,0,1,0,1,0,0,6.9700,-19.30 ,4.25 
000008.SZ, 神州高铁,2.1600,北京市,机械设备,1992-05-07,-0.3100,-0.5500,-0.3300,0.1610 ,0.1160 ,0.3110 ,0.1920 ,0.0780 ,0.0300 ,0.0700 ,0.2600 ,-0.0073,0.0121 ,0.0043 ,0.0100 ,0.0200 ,0.0000 ,0,-0.40,0.19,1.5737,-,0,10000.00,0.0000,-3.05 ,0.8589,0.3071,1.37,5867375795,0,0,0,1,1,1,1,0,2.5400,-8.47 ,2.19 
000009.SZ, 中国宝安,12.0200,广东省,电力设备,1991-06-25,0.4500 ,0.4000 ,0.2600 ,0.1200 ,0.1000 ,0.0600 ,0.1100 ,0.5000 ,0.2000 ,0.2300 ,0.1500 ,0.2500 ,0.3000 ,0.2300 ,0.1900 ,0.2400 ,0.0000 ,1,0.37,0.22,3.5413,是,1,32.49,7.8051,0.66 ,1.4462,0.5966,3.39,31002151859,0,0,0,1,0,1,0,0,7.5300,2.39 ,11.65 
000010.SZ, 美丽生态,2.3100,广东省,建筑装饰,1995-10-27,-0.5704,0.0286 ,0.0486 ,0.0567 ,-0.8922,-1.2947,0.0486 ,0.0542 ,-0.1268,0.0053 ,0.0100 ,0.0300 ,-0.0100,0.0500 ,0.1100 ,-0.2000,0.0000 ,0,-0.16,-0.40,0.6666,-,0,10000.00,0.0000,-0.59 ,1.0394,1.5022,3.47,2655696795,0,0,0,1,0,1,0,0,3.9100,-27.36 ,2.76 
000011.SZ, 深物业A,8.4600,广东省,房地产,1992-03-30,0.9022 ,1.6846 ,1.3399 ,1.3722 ,0.9945 ,1.0453 ,0.5954 ,0.2631 ,0.7005 ,0.5048 ,0.6299 ,0.4300 ,0.2936 ,0.1626 ,0.0181 ,-0.0505,0.0000 ,1,1.31,0.63,7.4039,是,1,6.46,40.0154,1.06 ,1.8279,0.9212,1.14,5041983118,0,1,0,1,1,1,1,1,12.1700,-4.51 ,8.96 
000012.SZ, 南  玻Ａ,5.7000,广东省,建筑材料,1992-02-28,0.6600 ,0.5000 ,0.2500 ,0.1700 ,0.1600 ,0.3500 ,0.3800 ,0.3000 ,0.4200 ,0.7400 ,0.1300 ,0.5700 ,0.7000 ,0.6800 ,0.3500 ,0.4100 ,0.0000 ,1,0.47,0.34,4.1863,是,1,12.13,22.6096,0.37 ,1.2444,2.7393,1.36,17502945010,0,1,0,1,1,1,1,1,7.3800,2.33 ,5.58 
000013.SZ, *ST石化A,0.0000,广东省,-,1992-05-06,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0,0.00,0.00,0.0000,-,0,10000.00,0.0000,-999.00 ,0.0000,0.0000,#DIV/0!,749286798.1,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000,0.00 ,0.00 
000014.SZ, 沙河股份,12.3500,广东省,房地产,1992-06-02,1.0300 ,0.1800 ,0.0200 ,0.1000 ,0.7238 ,0.0378 ,0.1418 ,0.2626 ,0.3013 ,0.1426 ,0.1386 ,0.2692 ,0.3500 ,0.3977 ,0.2160 ,0.0140 ,0.0000 ,1,0.41,0.15,4.8200,是,1,30.12,11.6800,1.78 ,1.5274,1.7407,2.56,2989270866,0,0,0,1,0,1,0,0,8.2800,12.17 ,11.95 
000015.SZ, PT中浩A,0.0000,广东省,-,1992-06-25,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,-0.3533,-0.3528,-0.3525,-0.3520,-0.3526,-0.3600,-0.3500,0.0000 ,0,0.00,0.00,0.0000,-,0,10000.00,0.0000,-999.00 ,0.0000,0.0000,#DIV/0!,954285459.4,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000,0.00 ,0.00 
000016.SZ, 深康佳Ａ,3.3100,广东省,家用电器,1992-03-27,-0.6111,0.3760 ,0.1984 ,0.0881 ,0.1708 ,2.1001 ,0.0397 ,-0.5200,0.0437 ,0.0375 ,0.0381 ,0.0207 ,0.0697 ,0.1255 ,0.2083 ,0.3480 ,0.0000 ,0,-0.01,0.54,3.1730,-,0,10000.00,0.0000,-1.02 ,1.1817,0.2832,1.04,7970299300,0,0,0,1,1,1,1,0,6.6100,-20.62 ,3.46 
000017.SZ, 深中华A,10.6800,广东省,纺织服饰,1992-03-31,-0.0130,-0.0036,0.0069 ,-0.0130,-0.0029,0.0030 ,0.0047 ,-0.0003,0.0089 ,2.8570 ,-0.0951,0.0720 ,0.1169 ,-0.2206,-0.0936,0.1314 ,0.0000 ,0,0.00,0.00,0.4210,-,0,10000.00,0.0000,-2.31 ,4.3079,-5.4009,25.37,7360495084,0,0,1,1,0,1,0,0,2.4100,145.52 ,11.26 
000018.SZ, 神城A退,0.0000,四川省,-,1992-06-16,0.0000 ,0.0000 ,0.0000 ,0.0000 ,-1.0040,0.2200 ,0.2800 ,1.5000 ,0.0254 ,0.0486 ,0.0000 ,-0.1000,0.0200 ,0.0700 ,-0.1500,-0.6900,0.0000 ,0,0.00,0.67,0.0000,-,0,10000.00,0.0000,-1.00 ,0.0000,0.0000,#DIV/0!,458526153,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000,0.00 ,0.00 
000019.SZ, 深粮控股,6.7300,广东省,农林牧渔,1992-10-12,0.3649 ,0.3720 ,0.3515 ,0.3154 ,0.2675 ,-0.1089,0.2139 ,-0.1171,0.0443 ,0.1740 ,0.2970 ,0.0323 ,0.0310 ,-0.0700,0.0700 ,0.2400 ,0.0000 ,0,0.36,0.00,4.1326,是,1,18.55,68.5063,-90.95 ,1.6762,3.2148,1.63,7756562259,0,0,0,1,0,1,0,0,7.5000,-10.74 ,6.86 
