Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231
000538.SZ, 云南白药,52.48,云南,医药生物,1993-12-15,1.9,1/2/1900,4.31,3.28,3.18,3.02,2.8,2.66,2.41,3.34,2.28,1.74,1.33,1.13,0.96,0.7,0,1,2.796666667,2.826666667,21.4283,是,1,18.76519666,90.36872355,-0.010613208,2.631366457,-5.730585583,2.449097689,9.59E+10,1.00E+00,0,1,1,0,1,0,0,113.6
000539.SZ, 粤电力Ａ,7.3,广东,公用事业,1993-11-26,-0.57,-0.6,0.33,0.22,0.09,0.14,0.18,0.62,0.69,0.71,0.43,0.13,0.28,0.44,0.01,0.25,0,0,-0.28,0.313333333,3.8554,-,0,10000,0,-1.893617021,0.614510324,0.213687519,1.893448151,35334411226,0,0,0,1,0,1,0,0,3.88
000540.SZ, 中天金融,0,贵州,房地产,1994-02-02,-2.2988,-0.92,0.082,0.1587,0.2098,0.4452,0.6308,0.6064,1.2197,0.8441,0.3429,0.4106,0.6073,0.8066,0.5712,0.3136,0,0,-1.0456,0.5608,-0.6159,-,0,10000,0,-2.864479315,1.071582312,-0.204078301,0,2802101872,0,0,0,1,1,1,1,1,3.15
000541.SZ, 佛山照明,5.71,广东,电子,1993-11-23,0.1692,0.1836,0.2265,0.2152,0.2699,0.5819,0.8429,0.042,0.27,0.26,0.41,0.3,0.27,0.2168,0.32,0.91,0,1,0.1931,0.488933333,3.7982,是,1,29.5701709,0,-0.605058631,1.470994352,6.977608251,1.503343689,7708889702,0,0,0,1,0,1,0,0,6.2
000542.SZ, TCL通讯,0,广东,-,1993-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,5142894592,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000543.SZ, 皖能电力,6.6,安徽,公用事业,1993-12-20,0.19,-0.59,0.45,0.39,0.31,0.07,0.5,0.65,0.88,1.11,0.367,0.02,0.28,0.15,0.052,0.08,0,0,0.016666667,0.406666667,5.558,是,1,396,25.59392857,-0.959016393,0.605129069,0.474506252,1.18747751,13533174086,0,0,0,1,1,1,1,0,4.18
000544.SZ, 中原环保,7.18,河南,公用事业,1993-12-08,0.44,0.52,0.51,0.48,0.43,0.5,0.5,0.38,0.25,0.22,0.38,0.3,0.2737,0.2179,0.2409,0.1972,0,1,0.49,0.46,6.8575,是,1,14.65306122,34.11201163,0.065217391,0.964182061,0.333766246,1.047028801,6852031951,0,1,0,1,1,1,1,1,7.01
000545.SZ, 金浦钛业,2.9,吉林,化工,1993-12-15,-0.1479,0.1087,-0.2536,0.0274,0.103,0.17,0.12,0.13,0.13,0.36,0.02,-0.0351,-0.3,-0.1,0.02,0.12,0,0,-0.0976,0.14,1.7968,-,0,10000,0,-1.697142857,1.322915572,5.887066683,1.61398041,2851947647,0,0,0,1,0,1,0,0,3.48
000546.SZ, 金圆股份,6.37,吉林,建筑材料,1993-12-15,-0.27,0.12,0.66,0.7,0.5245,0.5532,0.5133,0.4415,0.3012,0.1216,0.0295,0.1159,0.0132,0.1093,-0.123,0.0621,0,0,0.17,0.502666667,6.2285,-,0,37.47058824,0,-0.661803714,2.12847543,4.37221163,1.02271815,5902711633,0,0,1,1,1,1,1,0,7.52
000547.SZ, 航天发展,10,福建,国防军工,1993-11-30,0.02,0.4,0.5,0.42,0.31,0.19,0.17,0.23,0.23,0.17,0.14,0.19,0.1,0.28,0.12,0.07,0,1,0.306666667,0.196666667,5.5654,是,1,32.60869565,0,0.559322034,2.012476755,32.21271548,1.796816042,15712943084,0,0,1,1,0,1,0,0,27.5
000548.SZ, 湖南投资,4.84,湖南,交通运输,1993-12-20,0.07,0.1,0.17,0.11,0.08,0.26,0.12,0.04,0.04,0.02,0.06,0.11,0.17,0.21,0.074,0.39,0,1,0.113333333,0.14,3.7274,是,1,42.70588235,28.55913878,-0.19047619,2.244220351,3.203726995,1.298492247,2411212367,0,0,1,1,1,1,1,0,4.05
000549.SZ, S湘火炬,0,湖南,-,1993-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,8332950384,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000550.SZ, 江铃汽车,13.84,江西,汽车,1993-12-01,1.06,0.67,0.64,0.17,0.11,0.8,1.53,2.57,2.44,1.97,1.76,2.17,1.98,1.22,0.91,0.88,0,1,0.79,1.633333333,10.7086,是,1,17.51898734,0,-0.516326531,1.020436838,-3.983735705,1.292419177,11869192500,0,0,0,1,1,1,1,0,20.64
000551.SZ, 创元科技,11.11,江苏,机械设备,1994-01-06,0.4088,0.27,0.29,0.28,0.22,0.17,0.12,0.06,0.08,0.1,0.01,0.14,0.26,0.36,0.2,0.27,0,1,0.322933333,0.116666667,5.6866,是,1,34.40338563,0,1.768,1.499071002,7.555629008,1.953715753,4177202884,0,0,0,1,0,1,0,0,8.17
000552.SZ, 靖远煤电,3.33,甘肃,采掘,1994-01-06,0.66,0.2371,0.1946,0.2294,0.2505,0.2415,0.0969,0.1623,0.4618,0.596,1.2446,0.4,0.32,0.3,0.51,0.25,0,1,0.3639,0.1669,2.7271,是,1,9.150865622,0,1.180347513,1.36282007,-5.536658733,1.221077335,15262571369,0,1,0,1,1,1,1,1,3.21
000553.SZ, 安道麦A,8.44,湖北,化工,1993-12-03,0,0,0,0,0,0.6601,-0.1254,0.2388,0.828,0.5402,0.1747,0.089,0.0401,0.0325,0.291,0.05,0,0,0,0.257833333,9.9255,是,1,10000,10.32258725,-1,1.599866153,0.737532824,0.850334996,20269362364,0,0,0,1,1,1,1,0,7.82
000554.SZ, 泰山石油,5.63,山东,化工,1993-12-15,0.0195,0.0171,0.0152,0.0123,0.0039,0.006,0.009,0.0078,0.0141,0.0253,0.0492,0.0192,0.015,0.0173,0.3,0.15,0,1,0.017266667,0.0076,1.9432,是,1,326.0617761,0,1.271929825,1.051192131,-9.458315692,2.897282832,2678018781,0,0,0,1,0,1,0,0,4.41
000555.SZ, 神州信息,12.3,广东,计算机,1994-04-08,0.2139,0.386,0.4906,0.389,0.0437,0.3141,0.2637,0.382,0.6482,0.8,-0.092,0.007,0.04,-0.088,0.002,0.04,0,1,0.3635,0.319933333,6.1215,是,1,33.83768913,14.97626177,0.136174203,1.581940579,3.015523356,2.009311443,12571094452,0,0,0,1,0,1,0,0,15.5
000556.SZ, PT南洋,0,海南,-,1994-05-25,0.03,0,0,0,0,0,0,0,0.0052,0.0026,0.0075,0.0061,0.0297,0.0018,-0.01,-0.01,0,0,0.01,0,0,-,0,0,0,-999,0,0,#DIV/0!,1256026546,0,1,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
