Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,,
000015.SZ, PT中浩A,0,广东,-,6/25/1992,0,0,0,0,0,0,0,0,-0.3533,-0.3528,-0.3525,-0.352,-0.3526,-0.36,-0.35,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,1076911927,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000016.SZ, 深康佳Ａ,4.97,广东,家用电器,3/27/1992,0.376,0.1984,0.0881,0.1708,2.1001,0.0397,-0.52,0.0437,0.0375,0.0381,0.0207,0.0697,0.1255,0.2083,0.348,0,0,0.220833333,-0.145533333,3.7772,是,1,22.50566038,0,-2.517407238,0.889219493,0.433353298,1.32,12424998305,0,0,0,1,1,1,1,0,6.61
000017.SZ, *ST中华A,4.56,广东,汽车,3/31/1992,-0.0036,0.0069,-0.013,-0.0029,0.003,0.0047,-0.0003,0.0089,2.857,-0.0951,0.072,0.1169,-0.2206,-0.0936,0.1314,0,0,-0.003233333,0.004433333,0.0162,-,0,10000,0,-1.729323308,1.257375912,-0.279622751,281.48,2166797432,0,0,0,1,0,1,0,0,2.41
000018.SZ, 神城A退,0,北京,-,6/16/1992,0,0,0,-1.004,0.22,0.28,1.5,0.0254,0.0486,0,-0.1,0.02,0.07,-0.15,-0.69,0,0,0,0.6018,0,-,0,10000,0,-1,0,0,#DIV/0!,458526153,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000019.SZ, 深粮控股,7.78,广东,商业贸易,10/12/1992,0.372,0.3515,0.3154,0.2675,-0.1089,0.2139,-0.1171,0.0443,0.174,0.297,0.0323,0.031,-0.07,0.07,0.24,0,0,0.3463,0.047033333,4.0175,是,1,22.46606988,0,6.362863218,2.085559408,2.633920392,1.94,8321304534,0,0,1,1,0,1,0,0,7.5
000020.SZ, 深华发Ａ,9.85,广东,电子,4/28/1992,0.0254,0.0241,0.0193,0.0116,0.0034,0.0193,-0.0238,0.0271,-0.023,0.0115,0.0385,0.0324,0.0147,0.0267,0.0913,0,0,0.022933333,0.007533333,1.2129,-,0,429.505814,0,2.044247788,1.206273886,3.902752175,8.12,3092120599,0,0,0,1,0,1,0,0,9.99
000021.SZ, 深科技,11.72,广东,电子,2/2/1994,0.5065,0.5826,0.2395,0.3603,0.3679,0.1457,0.1228,0.1332,0.171,0.0709,0.1906,0.2913,0.29,0.3598,0.8064,0,1,0.442866667,0.1339,6.3097,是,1,26.46394701,0,2.307443366,1.154870606,4.718182591,1.86,17572216241,0,0,0,1,0,1,0,0,19.01
000023.SZ, 深天地Ａ,13.69,广东,建筑材料,4/29/1993,-0.3822,-0.0573,0.3663,0.1897,0.2198,0.0717,0.1926,0.1243,0.1083,0.0373,0.0668,0.0948,0.177,0.1536,0.1453,0,0,-0.0244,0.129533333,2.9659,-,0,10000,0,-1.188368502,1.047543949,-23.65059964,4.62,1357036027,0,0,0,1,0,1,0,0,16.3
000024.SZ, 招商地产,0,广东,-,6/7/1993,0,0,0,0,0,0,0,1.66,2.447,1.9323,1.5092,1.17,0.9574,0.9408,1.52,0,0,0,0.553333333,0,-,0,10000,0,-1,0,0,#DIV/0!,1.04E+11,1,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000025.SZ, 特  力Ａ,20.41,广东,汽车,6/21/1993,0.304,0.1338,0.5096,0.2924,0.2249,0.0915,0.1538,0.047,0.0313,0.0324,0.0098,0.0163,0.0286,0.02,0.05,0,1,0.3158,0.097433333,3.3242,是,1,64.62951235,0,2.241190558,2.460303956,-10.38494297,6.14,8741862730,0,0,1,1,0,1,0,0,16.9
000026.SZ, 飞亚达,11.17,广东,轻工制造,6/3/1993,0.9036,0.6764,0.4943,0.419,0.3196,0.2522,0.3099,0.371,0.331,0.295,0.406,0.377,0.281,0.259,0.244,0,1,0.691433333,0.311033333,7.0725,是,1,16.15484742,0,1.223020041,2.782083149,16.06150834,1.58,4056112637,0,0,1,1,0,1,0,0,11.43
000027.SZ, 深圳能源,6.15,广东,公用事业,9/3/1993,0.32,0.78,0.43,0.17,0.19,0.34,0.45,0,0,0,0.43,0.64,0.91,0.47,0.79,0,0,0.51,0.263333333,5.7405,是,1,12.05882353,0,0.936708861,0.969627603,0.589177925,1.07,28401617799,0,1,0,1,1,1,1,1,6.09
000028.SZ, 国药一致,35.52,广东,医药生物,8/9/1993,3.12,3.27,2.97,2.83,2.47,2.8,2.1,1.9,1.81,1.65,1.15,0.91,0.67,0.537,0.434,0,1,3.12,2.266666667,34.861,是,1,11.38461538,0,0.376470588,1.423137309,1.823157954,1.02,12556964411,0,1,0,1,1,1,1,1,45.8
000029.SZ, 深深房Ａ,13.74,广东,房地产,9/15/1993,0.2183,0.2869,0.5461,0.4977,0.1829,0.308,0.2977,0.2946,0.2256,0.1056,0.1,0.0838,0.02,0.0189,0.0288,0,1,0.350433333,0.3001,3.8929,是,1,39.20859888,0,0.16772187,2.755341084,238.4506677,3.53,8882374800,0,0,1,1,0,1,0,0,7.14
000030.SZ, 富奥股份,4.77,吉林,汽车,9/29/1993,0.48,0.52,0.5,0.49,0.64,0.52,0.39,0.48,0.44,-0.0128,5.0484,3.6934,0.0281,-0.2952,-0.0765,0,1,0.5,0.463333333,4.127,是,1,9.54,0,0.079136691,1.471208121,-7.629137195,1.16,8419067316,0,1,0,1,1,1,1,1,7.34
000031.SZ, 大悦城,4.03,广东,房地产,10/8/1993,0.03,-0.09,0.61,0.77,0.52,0.4,0.4,0.33,0.29,0.28,0.23,0.26,0.21,0.08,0.61,0,0,0.183333333,0.376666667,4.395,-,0,21.98181818,0,-0.513274336,1.525252059,0.183685586,0.92,15302138620,0,0,0,1,1,1,1,1,4.4
000032.SZ, 深桑达Ａ,26.71,广东,通信,10/28/1993,0.3651,0.36,0.32,0.26,0.06,0.14,0.16,0.09,0.04,0.77,0.12,0.123,0.175,0.31,0.449,0,1,0.348366667,0.13,5.2986,是,1,76.6720888,0,1.67974359,1.173721428,0.548421655,5.04,15476245582,0,0,0,1,0,1,0,0,17.9
000033.SZ, 新都退,0,广东,-,1/3/1994,0,0,0,0,0,0.01,0.21,-1.3647,0.0106,-0.0773,0.0085,0.0127,-0.073,0.0107,0.0057,0,0,0,-0.381566667,0,-,0,10000,0,-1,0,0,#DIV/0!,730524059.5,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000034.SZ, 神州数码,22.17,广东,计算机,5/9/1994,0.3677,0.9509,1.074,0.7834,1.1053,0.67,0.06,0.17,0.05,0.01,0.05,1.39,0.37,-0.72,-0.8,0,1,0.797533333,0.3,9.2034,是,1,27.79821115,51.41937462,1.658444444,1.060256311,0.136215067,2.41,11726642515,0,0,0,1,0,1,0,0,21.46
000035.SZ, 中国天楹,5.17,江苏,公用事业,4/8/1994,0.2919,0.26,0.3018,0.1602,0.1729,0.1709,0.37,0.35,5.99,-3.37,-0.15,0.31,-0.12,-0.0664,0.79,0,1,0.284566667,0.296966667,4.3328,是,1,18.1679747,0,-0.041755528,1.199445349,-0.05246688,1.19,12997453080,0,0,0,1,1,1,1,1,4.11
000036.SZ, 华联控股,4.47,广东,房地产,6/17/1994,0.27,0.37,0.551,0.849,1.177,1.18,0.0612,0.0306,0.071,0.0525,0.0618,0.2053,0.2505,-0.353,-0.34,0,1,0.397,0.423933333,3.3495,是,1,11.25944584,0,-0.063532002,3.192943627,-6.468840277,1.33,5713145996,0,1,1,1,1,1,1,1,3.98
