Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231,YTDchg,YTD_AVG
000525.SZ, ST红太阳,7.59,江苏,化工,1993-10-28,1.2609,-6.4468,-0.265,0.0462,1.096,1.201,0.222,0.359,0.842,0.733,0.572,0.204,-0.042,0.0129,0.0391,0.0674,0,0,-1.816966667,0.594,2.189,-,0,10000,0,-4.058866442,0.754895382,-0.038313915,3.467336683,4408066106,0,0,0,1,0,1,0,0,6.05,-11.01992966,7.753612921
000526.SZ, 学大教育,45.88,福建,传媒,1993-11-01,0.0925,-4.695,0.4542,0.1441,0.1346,0.2535,-1.0259,-0.141,0.0204,-0.0694,0.0382,0.0463,0.0731,0.0108,-0.1232,0.0301,0,0,-1.382766667,-0.304466667,3.6998,-,0,10000,0,3.541602803,0.393950525,-0.981801043,12.40067031,5603081649,0,0,0,1,0,1,0,0,52.39,-8.221644329,45.86574955
000527.SZ, 美的电器,0,广东,-,1993-11-12,0,0,0,0,0,0,0,0,0,0,1.03,1.11,1,0.97,0.55,0.95,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,47448554053,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000528.SZ, 柳    工,7.02,广西,机械设备,1993-11-18,0.31,0.51,0.9,0.69,0.5402,0.287,0.0438,0.0189,0.1764,0.2979,0.25,1.17,2.37,1.35,0.64,1.2,0,1,0.573333333,0.116566667,8.0703,是,1,12.24418605,32.55759243,3.918501573,1.372935918,1.974408863,0.869856139,13697507973,0,1,0,1,1,1,1,1,7.36,4.154302671,6.728451311
000529.SZ, 广弘控股,6.35,广东,传媒,1993-11-18,1.5704,0.57,0.52,0.42,0.29,0.27,0.18,0.13,0.26,0.14,0.11,0.12,0.1,0.1,0.85,0.0123,0,1,0.8868,0.193333333,5.1609,是,1,7.160577357,9.551976884,3.586896552,2.11331339,-2.853688742,1.230405549,3707068596,0,1,1,1,1,1,1,1,6.78,-6.48011782,6.815190848
000530.SZ, 冰山冷热,4.77,辽宁,机械设备,1993-12-08,0.02,-0.319,0.025,0.106,0.13,0.23,0.31,0.36,0.33,0.44,0.33,0.23,0.29,0.22,0.36,0.37,0,0,-0.091333333,0.3,3.5652,是,1,10000,46.18993391,-1.304444444,1.349017188,1.894476521,1.337933356,4022123658,0,0,0,1,1,1,1,0,4.86,-10.6741573,5.273055868
000531.SZ, 穗恒运Ａ,6.38,广东,公用事业,1994-01-06,-0.0697,0.2342,1.1385,0.5998,0.1196,0.2689,0.8371,0.657,0.9421,1.0157,0.8568,0.2225,0.5076,0.9475,-0.2,0.04,0,0,0.434333333,0.587666667,6.0437,是,1,14.68917882,-100.4138638,-0.260918888,1.07991054,0.522609934,1.055644721,6644140498,0,1,0,1,1,1,1,1,9.6,-4.633781764,6.478199487
000532.SZ, 华金资本,15.14,广东,电子,1994-01-03,0.4156,0.5598,0.4728,0.2055,0.1586,0.1401,0.1185,0.1097,0.0916,0.1532,0.12,0.08,0.07,0.12,-0.0894,0.1393,0,1,0.482733333,0.122766667,3.7635,是,1,31.3630714,14.43679017,2.932120554,0.676044879,2.726200362,4.022851069,5218884268,0,0,0,1,0,1,0,0,11.72,26.27189324,14.15128691
000533.SZ, 顺钠股份,4.33,广东,电气设备,1994-01-03,0.0456,-0.018,0.124,0.004,-1.4,0.06,0.33,0.18,0.18,0.26,0.1071,0.1,0.19,0.34,0.11,0.2242,0,0,0.050533333,0.19,1.0319,-,0,85.68601583,0,-0.734035088,1.320374814,1.81909384,4.196143037,2991233280,0,0,0,1,0,1,0,0,3.04,-7.675906183,4.592628762
000534.SZ, 万泽股份,11.56,广东,医药生物,1994-01-10,0.2006,0.1896,0.156,0.1437,0.12,0.18,0.15,0.09,0.1,0.31,0.27,0.05,0.05,0.06,0.0754,0.5652,0,1,0.182066667,0.14,2.3815,是,1,63.49322592,25.02171702,0.30047619,1.155609217,2.480785005,4.854083561,5884472298,0,0,0,1,0,1,0,0,13.68,-11.68831169,12.01127967
000535.SZ, *ST猴王,0,辽宁,-,1993-11-30,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016666667,0,0,-,0,10000,0,-999,0,0,#DIV/0!,151361611,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000536.SZ, *ST华映,2.98,福建,电子,1993-11-26,-0.4422,-0.0809,0.221,-0.9353,-1.7955,0.0741,0.3892,0.195,0.3205,0.4436,0.3941,0.495,0.5091,0.0563,0.05,0.16,0,0,-0.1007,0.219433333,1.4596,-,0,10000,0,-1.458909312,0.743763896,1.89331245,2.041655248,8242777753,0,0,0,1,0,1,0,0,2.92,-23.78516624,3.29500005
000537.SZ, 广宇发展,9.7,天津,房地产,1993-12-10,0.34,-0.73,1.19,1.69,1.34,1.29,0.67,0.28,0.55,0.7,0.55,0.55,0.21,0.16,-0.076,0.091,0,0,0.266666667,0.746666667,8.8109,是,1,36.375,29.43769791,-0.642857143,3.387644584,1.381405551,1.100909101,18066450984,0,0,1,1,1,1,1,0,6.27,0.726895119,9.621468913
000538.SZ, 云南白药,49.41,云南,医药生物,1993-12-15,1.9,1/2/1900,4.31,3.28,3.18,3.02,2.8,2.66,2.41,3.34,2.28,1.74,1.33,1.13,0.96,0.7,0,1,2.796666667,2.826666667,21.4283,是,1,17.66746126,90.36872355,-0.010613208,2.631366457,-5.730585583,2.305829207,8.88E+10,1.00E+00,0,1,1,0,1,0,0,113.6,0.528992879,48.40262906
000539.SZ, 粤电力Ａ,5.09,广东,公用事业,1993-11-26,-0.57,-0.6,0.33,0.22,0.09,0.14,0.18,0.62,0.69,0.71,0.43,0.13,0.28,0.44,0.01,0.25,0,0,-0.28,0.313333333,3.8554,-,0,10000,0,-1.893617021,0.614510324,0.213687519,1.320226176,26723945489,0,0,0,1,1,1,1,0,3.88,4.08997955,5.037204864
000540.SZ, 中天金融,0,贵州,房地产,1994-02-02,-2.2988,-0.92,0.082,0.1587,0.2098,0.4452,0.6308,0.6064,1.2197,0.8441,0.3429,0.4106,0.6073,0.8066,0.5712,0.3136,0,0,-1.0456,0.5608,-0.6159,-,0,10000,0,-2.864479315,1.071582312,-0.204078301,0,2802101872,0,0,0,1,1,1,1,1,3.15,0,0
000541.SZ, 佛山照明,5.72,广东,电子,1993-11-23,0.1692,0.1836,0.2265,0.2152,0.2699,0.5819,0.8429,0.042,0.27,0.26,0.41,0.3,0.27,0.2168,0.32,0.91,0,1,0.1931,0.488933333,3.7982,是,1,29.62195753,58.55157972,-0.605058631,1.470994352,6.977608251,1.505976515,8859011476,0,0,0,1,0,1,0,0,6.2,-13.98496241,6.019392998
000542.SZ, TCL通讯,0,广东,-,1993-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,5142894592,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0,0,0
000543.SZ, 皖能电力,7.09,安徽,公用事业,1993-12-20,0.19,-0.59,0.45,0.39,0.31,0.07,0.5,0.65,0.88,1.11,0.367,0.02,0.28,0.15,0.052,0.08,0,0,0.016666667,0.406666667,5.558,是,1,425.4,25.59392857,-0.959016393,0.605129069,0.474506252,1.275638719,16072061017,0,0,0,1,1,1,1,0,4.18,13.25878594,6.915289766
