"","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1"," 中集集团",7.7,"机械设备","1994-04-08",382.86894734,6.111111111,0.854605993,12.2448964
"2"," 鲁西化工",9.89,"化工","1998-08-07",217.63571765,6.409591704,1.095541401,-15.75809146
"3"," 冀中能源",7.05,"采掘","1999-09-09",238.16105769,9.362549801,1.179521499,31.52984625
"4"," 越秀金控",6.4,"非银金融","2000-07-18",335.64616171,6.752004501,1.189325801,9.965637294
"5"," 招商港口",16.06,"交通运输","1993-05-05",398.60240843,11.80882353,0.739584341,15.45651056
"6"," 太阳纸业",11.79,"轻工制造","2006-11-16",342.62827299,12.19655172,1.427360775,4.151943222
"7"," 露天煤业",14.61,"采掘","2007-04-18",308.44051264,8.766,1.195072473,23.39526966
"8"," 滨江集团",7.74,"房地产","2008-05-29",298.38746905,7.952054795,1.02328164,-9.790209308
"9"," 天山铝业",6.03,"机械设备","2010-12-31",304.69849468,9.521052632,1.228255999,-19.82449049
"10"," 首创股份",2.71,"公用事业","2000-04-27",208.47277523,8.276493943,1.062536757,0.37037037
"11"," 兴发集团",18.82,"化工","1999-06-16",219.77810717,5.88125,1.037206047,-32.80371328
"12"," 金发科技",7.52,"化工","2004-06-23",212.31005916,7.059044401,1.208886603,-20.50739858
"13"," 永泰能源",1.42,"采掘","1998-05-13",308.82692162,12.6899017,0.716737331,-7.189542484
"14"," 南山铝业",2.89,"有色金属","1999-12-23",367.64855943,11.56,0.750240129,-10.52631673
"15"," 鄂尔多斯",9.13,"采掘","2001-04-26",256.36790487,3.552529183,0.893652425,-9.922478331
"16"," 华发股份",7.45,"房地产","2004-02-25",202.82403491,6.174033149,0.883214188,-14.26927506
"17"," 华阳股份",9.03,"采掘","2003-08-21",303.7515,5.396414343,0.854684675,1.286174202
"18"," 浙江龙盛",8.68,"化工","2003-08-01",302.23452979,7.914893617,0.877893864,-10.12166725
"19"," 金地集团",5.26,"房地产","2001-04-12",307.89459961,2.753926702,0.364306294,-47.88983586
"20"," 深高速",9.52,"交通运输","2001-12-25",217.85895557,9.889196676,1.196851978,11.76332365
"21"," 天地科技",5.25,"机械设备","2002-05-15",224.72537684,13.23529412,1.066531234,5.000000245
"22"," 豫园股份",6.43,"商业贸易","1992-09-02",289.78395658,6.615226337,0.702916612,-11.45446133
"23"," 华新水泥",13.06,"建筑材料","1994-01-03",311.22564866,5.981679389,0.997639582,-8.739107153
"24"," 中材国际",9.45,"建筑装饰","2005-04-12",298.05340531,11.57142857,1.470840013,14.96350406
"25"," 九州通",7.48,"医药生物","2010-11-02",302.38069008,5.768637532,0.62412389,24.42806813
"26"," 中国化学",6.67,"建筑装饰","2010-01-07",475.31681175,8.200819672,0.77047476,-14.07960789
"27"," 君正集团",3.89,"化工","2011-02-22",345.11491125,7.289649572,1.276833191,2.099736912
"28"," 桐昆股份",13.44,"化工","2011-05-18",355.64012522,8.746203905,0.933930011,-6.989619377
"29"," 郑煤机",12.01,"汽车","2010-08-03",232.89175048,11.00488699,1.202021718,13.30188746
"30"," 和邦生物",2.36,"化工","2012-07-31",206.65125534,8.840054938,1.090119636,-21.21515613
