"","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1"," 南  玻Ａ",5.58,"建筑材料","1992-02-28",173.18703483,11.87234043,1.332919284,-14.93902378
"2"," 国药一致",30.48,"医药生物","1993-08-09",176.04153386,9.273833671,0.809215714,23.47771679
"3"," 天健集团",5.13,"房地产","1999-07-21",113.2338533,5.764260834,0.911416693,-0.194552122
"4"," 山东路桥",5.75,"建筑装饰","1997-06-09",102.2447011,4.310237126,0.700536062,-14.30700458
"5"," 柳    工",6.32,"机械设备","1993-11-18",140.09657465,11.02325581,0.783118348,9.342562099
"6"," 靖远煤电",3.19,"采掘","1994-01-06",153.08694194,8.766144545,1.16974075,6.333332577
"7"," 北部湾港",7.6,"交通运输","1995-11-02",139.45511223,12.45901639,1.056847258,5.306914165
"8"," 兴蓉环境",5.55,"公用事业","1996-05-29",160.02635481,11.30883651,1.121506658,16.15738796
"9"," 宝新能源",4.68,"公用事业","1997-01-28",117.28035576,10.8,0.902116504,-27.66615175
"10"," 新兴铸管",3.91,"钢铁","1997-06-06",164.78942745,8.519137192,0.633157366,11.07667838
"11"," 中国重汽",15.47,"汽车","1999-11-25",193.61847053,11.96134021,1.322798827,4.821589845
"12"," 传化智联",4.81,"交通运输","2004-06-29",146.01803937,10.02083333,0.777725678,-8.221068143
"13"," 达安基因",10.47,"医药生物","2004-08-09",137.11667733,3.404250707,1.300233471,-24.18537244
"14"," 宁波华翔",13.62,"汽车","2005-06-03",116.09001944,8.844155844,1,-0.220370228
"15"," 江南化工",4.47,"化工","2008-05-06",135.35995789,14.48320553,1.35094294,-7.644628099
"16"," 利尔化学",12.6,"化工","2008-07-08",102.53600891,7.02106319,1.387344337,-27.83505155
"17"," 齐翔腾达",5.53,"化工","2010-05-18",182.50994235,10.84313725,1.175970229,-19.62212314
"18"," 雅化集团",12.49,"化工","2010-11-09",172.6538655,7.365110565,1.321805021,-45.18101633
"19"," 云图控股",8.45,"化工","2011-01-18",101.32802363,7.946708464,1.328804391,-21.9038817
"20"," 双星新材",8.68,"轻工制造","2011-06-02",106.03070039,10.67213115,1.032546631,-30.8424733
"21"," 皖维高新",4.53,"化工","1997-05-28",109.6898682,9,1.262576995,-20.52631579
"22"," 南京高科",6.11,"房地产","1997-05-06",110.22263532,3.724095896,0.638300095,-1.292406604
"23"," 浙江医药",11.35,"医药生物","1999-10-21",107.7877075,14.1875,1.18296941,-1.475693527
"24"," 陕西建工",4.16,"建筑装饰","2000-06-22",174.49924984,4.375876578,0.834670947,1.463414293
"25"," 瀚蓝环境",17.11,"公用事业","2000-12-25",140.89198683,12.19239905,1.281849579,-6.195175151
"26"," 三房巷",2.55,"纺织服装","2003-03-06",100.52567466,14.42035815,1.472541433,-11.4583351
"27"," 中文传媒",13.63,"传媒","2002-03-04",169.78948399,9.598591549,1.05626981,54.53514624
"28"," 盘江股份",6.45,"采掘","2001-05-31",132.44675596,8.283390411,1.202214311,2.218708339
"29"," 中化国际",4.63,"化工","2000-03-01",180.65832368,10.13868613,0.953695312,-28.32817245
"30"," 华谊集团",6.81,"化工","1992-12-04",138.75736883,9.328767123,0.666855985,11.09298562
"31"," 外高桥",10.6,"房地产","1993-05-04",134.99301084,12.421875,1.0034078,-8.777968984
"32"," 辽宁成大",12.73,"医药生物","1996-08-19",198.09742117,9.5,0.678307482,2.326994511
"33"," 新钢股份",3.81,"钢铁","1996-12-25",130.73763054,4.447470817,0.461980575,-4.559119216
"34"," 隧道股份",5.39,"建筑装饰","1994-01-28",184.24403111,6.82278481,0.621146644,9.999998485
"35"," 明泰铝业",11.8,"有色金属","2011-09-19",139.7186529,6.344086022,0.949759341,-34.34961626
