"","Name","Close","Industry","List_date","Mkt_Cap","PE19_21","PB","YTDchg"
"1"," 中集集团",7.95,"机械设备","1994-04-08",428.70537061,6.30952381,0.882352941,3.921568627
"2"," 冀中能源",7.6,"采掘","1999-09-09",268.5495606,10.09296149,1.271540907,6.442577031
"3"," 越秀金控",5.92,"非银金融","2000-07-18",297.01424175,6.245604164,1.100126366,-1.661129568
"4"," 招商港口",16.01,"交通运输","1993-05-05",400.10185323,11.77205882,0.737281774,0.313283208
"5"," 中材科技",15.25,"化工","2006-11-20",255.91384656,8.591065292,1.481474285,-4.208542714
"6"," 露天煤业",14.9,"采掘","2007-04-18",333.99445046,8.94,1.218793967,4.414856342
"7"," 滨江集团",6.87,"房地产","2008-05-29",213.75619524,7.058219178,0.908261611,-5.502063274
"8"," 天山铝业",5.9,"机械设备","2010-12-31",274.46123949,9.315789474,1.201776184,-1.830282862
"9"," 首创股份",2.75,"公用事业","2000-04-27",201.86624362,8.398656215,1.078219957,2.230483271
"10"," 兴发集团",18.21,"化工","1999-06-16",200.9025809,5.690625,1.003587785,-0.219178082
"11"," 金发科技",7.51,"化工","2004-06-23",200.66789888,7.049657374,1.207279041,-6.007509387
"12"," 永泰能源",1.38,"采掘","1998-05-13",306.6051452,12.33243968,0.696547547,0.729927007
"13"," 中国巨石",9.46,"化工","1999-04-22",378.69673447,7.377177021,1.372207717,-3.763987792
"14"," 南山铝业",2.97,"有色金属","1999-12-23",347.74401959,11.88,0.771008022,1.020408163
"15"," 鄂尔多斯",10.26,"采掘","2001-04-26",287.15444366,3.992217899,1.004257818,5.773195876
"16"," 白云山",28.89,"医药生物","2001-02-06",469.69100517,13.2909063,1.465010142,1.013986014
"17"," 华阳股份",10.25,"采掘","2003-08-21",369.76875,6.125498008,0.970157023,5.020491803
"18"," 浙江龙盛",8.41,"化工","2003-08-01",273.60520943,7.668693009,0.850586105,0.119047619
"19"," 深高速",9.47,"交通运输","2001-12-25",206.51894987,9.837257618,1.19056599,5.339265851
"20"," 天地科技",5.72,"机械设备","2002-05-15",236.72728462,14.42016807,1.162011173,5.147058824
"21"," 豫园股份",6.18,"商业贸易","1992-09-02",240.77871136,6.358024691,0.675587039,-0.483091787
"22"," 华新水泥",12.82,"建筑材料","1994-01-03",266.5272422,5.871755725,0.979306236,3.137570394
"23"," 九州通",7.28,"医药生物","2010-11-02",284.56731241,5.614395887,0.607436086,3.851640514
"24"," 中国化学",6.34,"建筑装饰","2010-01-07",387.34043528,7.795081967,0.732355319,-0.314465409
"25"," 君正集团",3.75,"化工","2011-02-22",316.42565213,7.027297145,1.230880326,0.267379679
"26"," 桐昆股份",14.99,"化工","2011-05-18",361.426812,9.754880694,1.041637713,-0.925313946
"27"," 郑煤机",13.16,"汽车","2010-08-03",234.43342045,12.05864386,1.317119552,4.031620553
"28"," 正泰电器",20.99,"电气设备","2010-01-21",451.06858806,9.747678019,1.241798745,-2.417480242
"29"," 和邦生物",2.34,"化工","2012-07-31",206.65125534,8.765139218,1.080881334,-0.847457627
