No.,Ticker,Market Cap,Market_Cap,PE,Fwd_PE,PEG,PS,PB,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt_Eq,Debt_Eq,Gross_M,Oper_M,Profit_M,Earnings,Price,Change,Volume
295,MCK,46.61B,46.61,36.05,12.7,2.65,0.18,,0.58%,2.20%,-235.80%,-61.00%,1,0.6,-,-,5.20%,0.90%,0.50%,May 05/a,322.86,1.17%,"1,330,116"
296,MCO,52.75B,52.75,27.41,22.51,5.17,8.59,22.37,0.97%,14.00%,81.20%,22.70%,1.4,1.4,3.04,3.25,72.90%,43.10%,32.20%,May 02/b,289.27,2.30%,"1,499,069"
297,MDLZ,83.79B,83.79,20.54,19.27,2.96,2.86,3.02,2.29%,6.20%,15.00%,7.00%,0.7,0.5,0.65,0.7,38.50%,14.80%,14.30%,Apr 26/a,61.19,0.13%,"14,245,917"
298,MDT,135.46B,135.46,28.23,17.58,2.32,4.26,2.62,2.46%,5.30%,9.50%,4.90%,2.6,2.1,0.46,0.48,68.50%,17.90%,15.50%,May 26/b,102.53,-0.21%,"5,315,485"
299,MET,50.05B,50.05,8.04,7.5,0.88,0.7,0.95,3.22%,0.90%,10.30%,8.80%,-,-,0.32,0.32,-,13.30%,9.40%,May 04/a,62.05,-0.54%,"5,386,697"
300,MGM,13.98B,13.98,11.17,23.48,-,1.28,3,0.03%,3.80%,24.70%,10.70%,1.3,1.2,2.09,2.35,48.80%,24.20%,13.70%,May 02/a,34.37,2.14%,"7,386,336"
301,MHK,8.56B,8.56,8.81,8.07,0.98,0.74,1.06,,7.20%,12.20%,10.00%,1.4,0.8,0.13,0.32,28.50%,11.60%,9.00%,Apr 28/a,135.12,-2.94%,"749,550"
302,MKC,23.65B,23.65,32.58,26.42,4.69,3.72,5.26,1.64%,5.80%,16.90%,8.50%,0.7,0.3,0.86,1.17,39.00%,15.50%,11.80%,Mar 29/b,90.32,0.98%,"1,285,979"
303,MKTX,10.30B,10.3,43.83,34.82,4.23,14.93,10.2,1.00%,15.20%,23.40%,25.10%,-,-,0,0,93.50%,46.70%,35.10%,Apr 20/b,279.31,4.24%,"394,991"
304,MLM,20.12B,20.12,31.03,19.37,1.85,3.55,3.18,0.74%,4.90%,10.30%,6.90%,2.8,1.7,0.79,0,23.50%,16.50%,11.60%,May 03/b,327.76,0.96%,"656,397"
305,MMC,73.34B,73.34,23.73,19.93,2.76,3.62,6.89,1.43%,9.60%,30.90%,14.90%,1.2,1.2,0.96,1.07,-,21.70%,15.90%,Apr 21/b,149.85,-1.33%,"2,297,866"
306,MMM,82.01B,82.01,14.98,12.61,2.28,2.32,5.51,4.14%,11.80%,38.00%,18.70%,1.6,1,0.99,1.12,46.00%,19.90%,15.80%,Apr 26/b,143.83,-2.13%,"4,186,159"
307,MNST,44.74B,44.74,34.07,27.35,2.34,8.07,7.06,,19.10%,22.80%,20.90%,4.9,4.2,0,0,56.10%,32.40%,24.90%,May 05/a,87.63,1.00%,"3,808,416"
308,MO,90.98B,90.98,31.11,9.97,5.65,3.52,,7.05%,7.30%,-871.50%,35.60%,0.6,0.5,-,-,54.90%,44.40%,11.60%,Apr 28/b,51.09,0.00%,"16,130,084"
309,MOH,17.79B,17.79,26.33,15.81,1.36,0.61,6.43,,6.00%,26.70%,15.50%,1.4,1.4,0.86,0,14.60%,3.60%,2.40%,Apr 27/a,309.53,0.07%,"390,942"
310,MOS,19.78B,19.78,8.2,5.33,1.17,1.41,1.82,0.78%,12.10%,24.70%,12.60%,1.2,0.6,0.29,0.38,30.10%,24.40%,19.00%,May 02/a,57.95,-5.26%,"11,255,245"
311,MPC,50.53B,50.53,22.39,13.98,1.22,0.37,2.27,2.40%,12.00%,40.30%,7.50%,1.4,1.1,1.07,1.11,9.10%,4.20%,7.90%,May 03/b,96.56,0.84%,"5,874,645"
312,MPWR,17.55B,17.55,72.74,30.56,2.91,13.18,14.63,0.72%,17.90%,22.90%,18.70%,4.6,3.4,0,0,57.30%,23.50%,20.70%,May 02/a,418.12,0.34%,"565,343"
313,MRK,237.67B,237.67,17.06,12.75,1.4,4.4,5.79,2.95%,14.30%,38.30%,15.50%,1.4,1.1,0.75,0.78,71.10%,28.90%,26.30%,Apr 28/b,93.55,1.59%,"11,703,682"
314,MRNA,51.15B,51.15,4.01,15.65,0.24,2.26,3.21,,65.50%,121.90%,81.90%,1.8,1.6,0.04,0.05,84.80%,71.90%,64.80%,May 04/b,136.25,-4.97%,"5,854,427"
315,MRO,17.96B,17.96,9.5,7.99,0.89,2.91,1.75,1.17%,12.30%,19.80%,7.50%,1.1,1.1,0.35,0.36,90.80%,30.40%,34.90%,May 04/a,27.26,1.41%,"19,047,524"
316,MS,135.48B,135.48,10.1,9.45,1.82,2.25,1.45,3.53%,1.20%,14.50%,2.00%,-,-,2.37,6.99,92.20%,31.40%,23.50%,Apr 14/b,79.37,-0.74%,"8,345,268"
317,MSCI,32.16B,32.16,45.75,32.1,3.01,15.13,,1.00%,15.10%,-179.30%,22.60%,1.1,1.1,-,-,82.30%,50.30%,35.70%,Apr 26/b,417.04,1.71%,"667,067"
318,MSFT,1847.17B,1847.17,26.35,23.44,1.62,9.59,11.62,0.98%,21.40%,47.00%,28.20%,2,1.9,0.38,0.4,68.70%,42.50%,37.60%,Apr 26/a,252.56,-0.23%,"39,012,544"
319,MSI,32.96B,32.96,29.34,19.02,2.06,4.03,,1.50%,10.90%,-519.10%,23.80%,1.1,0.9,-,-,49.40%,19.50%,15.50%,May 12/a,210.28,0.01%,"1,879,954"
320,MTB,29.05B,29.05,12.43,8.86,2.18,7.54,1.3,2.95%,1.10%,10.60%,16.40%,-,-,0.21,0.21,-,97.10%,43.90%,Apr 20/b,162.73,-0.10%,"1,134,979"
321,MTCH,20.76B,20.76,84.85,26.58,5.3,6.67,,,5.80%,-211.60%,11.60%,1.1,1.1,-,-,71.20%,27.90%,9.10%,May 03/a,76.7,2.20%,"2,878,726"
322,MTD,27.15B,27.15,36.37,28.9,2.04,7.12,333.85,,24.30%,523.10%,41.50%,1.2,0.8,20.88,22.13,58.20%,25.60%,20.80%,May 05/a,1238.58,1.55%,"136,156"
323,MU,72.43B,72.43,8.67,5.5,0.29,2.32,1.61,0.58%,15.10%,20.10%,11.60%,3.1,2.3,0.15,0.15,45.80%,31.60%,29.00%,Mar 29/a,68.9,-0.72%,"20,214,833"
324,NCLH,5.84B,5.84,,8.67,-,5,4.24,,-21.90%,-156.30%,-26.80%,0.8,0.7,8.33,9,-83.60%,-,-,May 10/b,15.3,-4.08%,"26,987,129"
325,NDAQ,23.55B,23.55,20.98,17.34,2.65,4.08,4.01,1.64%,6.10%,18.40%,9.60%,0.9,0.9,0.8,0.98,60.00%,27.10%,20.30%,Apr 20/b,146.13,2.13%,"1,965,696"
326,NDSN,11.77B,11.77,24.25,21.02,1.87,4.82,5.38,0.99%,13.40%,23.70%,16.50%,2.5,1.6,0.36,0.37,56.20%,27.10%,20.30%,May 23/a,205.24,-0.32%,"323,407"
327,NEE,137.33B,137.33,96.64,23.44,10.67,8.46,3.9,2.39%,1.00%,4.00%,2.80%,0.5,0.4,1.42,1.66,-,12.70%,9.00%,Apr 21/b,71.22,1.08%,"9,722,803"
328,NEM,53.41B,53.41,53.58,20.52,-,4.32,2.48,3.27%,2.60%,4.70%,0.50%,2.9,2.2,0.28,0.29,54.60%,9.60%,8.50%,Apr 22/b,67.19,1.63%,"6,111,554"
329,NFLX,76.91B,76.91,17.82,15.54,1.44,2.53,4.72,,11.50%,32.00%,16.70%,1,1,0.83,0.83,46.30%,20.40%,16.50%,Apr 19/a,186.35,1.56%,"10,406,754"
330,NI,12.00B,12,19.91,19.55,2.77,2.3,2.17,3.10%,2.80%,12.80%,5.80%,0.7,0.6,1.62,1.73,69.00%,22.50%,12.60%,May 04/b,30.28,-0.10%,"5,186,281"
331,NKE,162.28B,162.28,28.54,23.29,1.86,3.47,11.51,1.13%,16.00%,43.00%,26.80%,3.1,2.2,0.64,0.64,46.20%,15.20%,13.10%,Mar 21/a,108,1.47%,"7,579,597"
332,NLOK,14.00B,14,15.53,12.33,1.92,5.09,,2.06%,13.40%,-267.10%,23.60%,0.7,0.7,-,-,85.20%,40.20%,32.20%,May 05/a,24.31,2.31%,"5,227,870"
333,NLSN,9.36B,9.36,16.84,12.72,3.18,2.66,2.69,0.94%,4.50%,15.40%,9.80%,2,2,1.64,1.65,64.50%,23.20%,14.10%,Apr 28/b,25.5,0.24%,"2,510,747"
334,NOC,68.60B,68.6,12.22,16.26,2,1.94,5.21,1.42%,13.60%,47.30%,14.30%,1.3,1.2,0.97,0.97,21.00%,10.60%,16.30%,Apr 28/b,443.33,-1.15%,"634,669"
335,NOW,83.02B,83.02,394.02,46.42,14.75,13.27,21.67,,2.20%,6.20%,4.50%,1.1,1.1,0.37,0.39,77.30%,3.90%,3.60%,Apr 27/a,433.03,1.47%,"1,715,034"
336,NRG,10.62B,10.62,2.78,10.82,0.07,0.4,2.2,3.06%,15.70%,105.00%,22.40%,1.4,1.3,1.6,1.6,30.70%,21.40%,14.90%,May 06/b,45.72,-1.06%,"6,659,551"
337,NSC,53.83B,53.83,18.48,14.94,1.66,4.71,4.07,2.17%,7.80%,21.90%,13.00%,1,0.9,1.02,1.1,52.90%,39.60%,26.60%,Apr 27/b,228.86,0.36%,"1,518,569"
338,NTAP,14.51B,14.51,15.08,12.21,1.71,2.34,16.83,3.00%,10.90%,132.90%,23.70%,1.6,1.5,2.7,2.99,67.30%,21.30%,16.30%,Jun 01/a,66.64,-2.37%,"2,453,419"
339,NTRS,21.23B,21.23,14.35,11.28,1.95,3.25,2.04,2.71%,0.90%,13.80%,0.90%,-,-,0.33,14.91,-,31.00%,23.00%,Apr 26/b,103.47,1.44%,"743,025"
340,NUE,32.14B,32.14,4.28,9.87,0.11,0.8,2.14,1.67%,-,-,36.40%,2.9,1.7,0.4,0.45,32.20%,-,-,Apr 21/b,119.97,-0.61%,"2,858,569"
341,NVDA,381.88B,381.88,43.42,24.75,1.41,14.19,15.72,0.10%,25.30%,43.20%,26.20%,6.7,6,0.41,0.41,64.90%,37.30%,36.20%,May 25/a,166.94,-2.51%,"73,565,227"
342,NVR,13.85B,13.85,11.38,8.47,2.37,1.49,5.29,,24.40%,48.00%,28.50%,-,-,0.56,0.56,26.50%,20.40%,15.20%,Apr 26/b,4262.41,2.57%,"17,659"
343,NWL,7.86B,7.86,11.58,9.28,2.52,0.74,2.06,4.73%,5.00%,17.80%,9.00%,1.4,0.7,1.23,1.23,30.90%,9.00%,6.70%,Apr 29/b,19.45,-1.12%,"4,372,600"
344,NWS,10.52B,10.52,21.55,-,-,1.05,1.29,1.12%,-,-,-,-,-,-,-,-,-,-,May 05/a,17.89,0.62%,"761,897"
345,NWSA,10.09B,10.09,20.96,17.26,1.1,0.99,1.23,1.14%,3.00%,6.00%,3.70%,1.2,1.1,0.3,0.33,50.50%,7.10%,4.90%,May 05/a,17.61,0.63%,"4,727,309"
346,NXPI,45.13B,45.13,22.36,12.67,2.02,3.88,7.28,1.88%,10.50%,32.00%,13.40%,1.9,1.4,1.62,1.62,55.80%,25.30%,18.70%,May 02/a,180.11,2.46%,"2,734,401"
347,O,39.68B,39.68,66.66,42.44,12.23,16.23,1.58,4.36%,1.40%,2.40%,0.70%,-,-,0.63,0.63,93.60%,17.70%,18.90%,May 04/a,67.99,1.25%,"4,071,626"
348,ODFL,27.21B,27.21,24.83,19.62,0.97,4.84,7.94,0.49%,24.30%,32.40%,27.50%,2.2,2.2,0.03,0,88.70%,27.10%,20.20%,Apr 27/b,243.18,1.98%,"1,071,216"
349,OGN,9.46B,9.46,7.34,6.48,-,1.49,,2.98%,11.90%,-82.40%,17.70%,1.6,1.2,-,-,63.00%,23.60%,20.40%,May 05/b,37.64,2.93%,"1,917,138"
350,OKE,27.56B,27.56,18.92,14.73,1.74,1.47,4.74,5.89%,6.30%,25.30%,10.70%,0.8,0.5,2.13,2.29,22.80%,13.80%,8.00%,May 03/a,63.54,0.40%,"2,205,333"
351,OMC,15.10B,15.1,12.73,10.62,1.2,1.06,5.2,3.74%,4.90%,40.10%,18.40%,0.9,0.9,1.88,1.89,27.50%,14.40%,9.10%,Apr 19/a,74.85,-0.07%,"1,363,052"
352,ORCL,181.98B,181.98,26.31,13.05,2.57,4.35,,1.87%,6.40%,-200.30%,17.80%,1.5,-,-,-,79.40%,26.20%,18.10%,Mar 10/a,68.63,2.37%,"7,500,268"
353,ORLY,36.84B,36.84,18.34,15.58,1.85,2.72,,,18.20%,-,61.20%,0.7,0.1,-,-,52.40%,21.40%,15.90%,Apr 27/a,572.57,-4.81%,"1,506,255"
354,OTIS,30.18B,30.18,25.28,20.19,2.75,2.11,,1.58%,11.00%,-30.50%,43.00%,1.3,1.2,-,-,29.20%,14.90%,8.70%,Apr 25/b,73.44,1.17%,"3,002,973"
355,OXY,54.79B,54.79,9.58,8.93,0.52,1.88,3.91,0.82%,8.60%,60.40%,8.60%,1.2,1,1.71,1.74,64.90%,25.00%,22.40%,May 10/a,63.26,-1.09%,"23,694,995"
356,PARA,20.37B,20.37,5.73,15.5,-,0.71,0.93,2.94%,7.10%,18.80%,13.80%,1.6,1.5,0.74,0.74,36.20%,19.20%,14.10%,May 03/b,32.64,1.30%,"9,820,218"
357,PAYC,15.89B,15.89,72.12,39.77,2.81,13.98,15.92,,5.50%,25.40%,21.00%,1.1,1.1,0.03,0.03,84.70%,25.10%,19.60%,May 03/a,276.79,2.64%,"523,425"
358,PAYX,41.73B,41.73,31.33,28.92,2.35,9.28,12.88,2.69%,14.10%,43.90%,30.00%,1.3,1.3,0.24,0.25,-,40.00%,30.20%,Mar 30/b,117.33,1.29%,"2,252,823"
359,PCAR,27.66B,27.66,14.03,10.09,1.7,1.15,2.29,1.70%,6.80%,17.10%,8.70%,4.2,3.8,0.89,0.89,18.40%,10.70%,8.20%,Apr 26/b,79.81,-1.98%,"1,655,867"
360,PEAK,15.73B,15.73,51.08,60.79,17.61,8.11,2.48,4.08%,2.90%,6.50%,0.70%,-,-,0.99,0.99,59.00%,13.20%,22.10%,May 03/a,29.42,0.48%,"8,377,612"
361,PEG,33.58B,33.58,,18.24,-,3.67,2.49,3.20%,-2.70%,-9.00%,-2.10%,0.9,0.8,1.25,1.42,-,-21.30%,-14.20%,May 03/b,67.55,-0.18%,"2,216,179"
362,PENN,4.92B,4.92,14.68,12.13,-,0.79,1.36,,2.30%,10.90%,8.40%,1.9,1.9,2.96,3.03,45.80%,18.30%,6.10%,May 05/b,31.79,3.65%,"4,976,895"
363,PEP,220.00B,220,21.77,22.45,2.91,2.72,12.33,2.84%,11.00%,62.20%,16.30%,0.9,0.7,1.9,2.2,53.40%,17.50%,12.60%,Apr 26/b,162.21,0.63%,"5,750,388"
364,PFE,297.18B,297.18,11.83,9.9,-,3.22,3.58,3.05%,14.00%,32.70%,18.90%,1.4,1.1,0.43,0.44,60.40%,30.30%,27.00%,May 03/b,52.47,3.59%,"31,142,357"
365,PFG,16.90B,16.9,11.89,8.92,0.86,1.19,1.51,3.70%,0.50%,10.40%,8.60%,-,-,0.36,0.38,-,13.40%,11.10%,Apr 28/a,69.24,-0.73%,"2,427,280"
366,PG,336.59B,336.59,24.78,22.68,4.07,4.23,8.04,2.58%,11.90%,32.00%,18.30%,0.7,0.5,0.53,0.75,48.30%,22.30%,18.00%,Apr 20/b,141.79,0.06%,"7,760,557"
367,PGR,65.51B,65.51,30.17,18.38,0.98,1.36,3.92,0.36%,3.00%,12.20%,15.80%,-,-,0.39,0.39,-,6.10%,4.50%,May 03/b,110.99,0.52%,"3,801,385"
368,PH,32.61B,32.61,20.01,13.12,1.88,2.09,3.71,2.06%,7.90%,19.60%,12.50%,1.5,1.1,0.7,0.91,28.20%,17.40%,10.80%,May 05/b,258.77,-1.49%,"656,043"
369,PHM,10.07B,10.07,5.22,3.68,0.22,0.7,1.42,1.40%,-,-,19.20%,-,-,0.27,0.33,27.70%,-,-,Apr 28/b,42.74,2.57%,"2,163,181"
370,PKG,14.07B,14.07,15.2,12.44,1.57,1.75,3.66,2.68%,11.40%,25.60%,15.00%,3,2,0.66,0.66,24.80%,16.10%,11.50%,Apr 25/a,149.06,-0.95%,"872,115"
371,PKI,17.79B,17.79,23.68,20.74,0.62,3.55,2.58,0.19%,5.50%,11.60%,8.20%,1.9,1.4,0.68,0.68,54.70%,22.30%,14.80%,May 03/a,146.73,2.22%,"709,341"
372,PLD,85.57B,85.57,23.97,37.65,-,17.72,2.6,2.64%,6.40%,11.30%,2.50%,-,-,0.52,0.54,74.10%,34.50%,77.00%,Apr 19/b,119.72,0.00%,"5,121,911"
373,PM,155.20B,155.2,17.51,16.58,4.33,4.92,,4.94%,21.80%,-86.00%,58.20%,0.9,0.5,-,-,67.20%,40.60%,28.50%,Apr 21/b,101.15,0.65%,"5,065,581"
374,PNC,65.27B,65.27,13.21,9.43,-,5.64,1.33,3.85%,0.90%,9.30%,11.80%,-,-,0.54,0.54,-,99.80%,43.40%,Apr 14/b,155.98,0.79%,"1,885,795"
375,PNR,8.01B,8.01,14.95,12.31,1.8,2.05,3.23,1.72%,11.80%,22.90%,17.10%,1.5,0.9,0.44,0.44,34.30%,16.20%,14.00%,Apr 21/b,48.96,1.26%,"1,037,181"
376,PNW,8.53B,8.53,15.13,17.86,151.32,2.19,1.44,4.51%,2.80%,10.20%,5.00%,1,0.8,1.22,1.26,-,20.90%,15.40%,May 04/b,75.31,-0.29%,"559,271"
377,POOL,15.94B,15.94,22.48,20.47,1.32,2.82,13.79,0.99%,25.20%,71.10%,29.20%,2.5,0.8,1.26,1.28,31.20%,16.60%,12.90%,Apr 21/b,405.58,3.08%,"823,798"
378,PPG,28.49B,28.49,27.05,13.69,1.63,1.65,4.55,1.97%,4.90%,17.30%,10.40%,1.5,1,1.1,1.15,37.60%,7.40%,6.30%,Apr 21/a,119.68,-2.44%,"1,781,822"
379,PPL,21.17B,21.17,214.71,17.6,13.32,3.49,1.55,2.74%,1.80%,4.40%,3.70%,1.9,1.8,0.77,0.87,85.40%,24.10%,10.40%,May 05/b,29.2,-0.03%,"6,100,932"
380,PRU,36.64B,36.64,8.01,7.7,2.97,0.55,0.84,4.86%,0.50%,8.30%,9.50%,-,-,0.45,0.47,-,8.70%,7.10%,May 03/a,98.7,-0.88%,"3,600,923"
381,PSA,54.17B,54.17,30.41,26.36,1.79,14.96,10.25,2.56%,11.20%,35.40%,13.20%,-,-,1.39,1.39,73.70%,49.00%,50.00%,May 03/a,312.91,1.01%,"604,444"
382,PSX,43.50B,43.5,16.32,11.19,2.01,0.35,1.93,4.14%,4.40%,13.20%,-3.60%,1.1,0.9,0.59,0.66,8.30%,0.20%,2.00%,Apr 29/b,93.79,-1.62%,"3,827,513"
383,PTC,12.88B,12.88,28.04,21.14,2.11,6.85,6.37,,11.00%,24.60%,13.40%,1.2,1.2,0.61,0.61,79.60%,21.80%,25.50%,Apr 27/a,113.42,3.57%,"915,998"
384,PVH,4.16B,4.16,4.88,6.18,-,0.45,0.85,0.23%,7.50%,18.70%,13.80%,1.3,0.8,0.44,0.45,58.20%,11.80%,10.40%,Mar 29/a,64.87,0.59%,"1,151,931"
385,PWR,15.71B,15.71,34.27,16.17,2.04,1.1,3.16,0.25%,4.20%,9.90%,6.00%,1.5,1.5,0.74,0.75,14.90%,4.70%,3.40%,May 05/b,113,-0.47%,"1,581,990"
386,PXD,62.04B,62.04,16.25,10.58,0.93,2.96,2.74,1.17%,11.30%,18.20%,18.20%,1.5,1.4,0.23,0.24,53.90%,38.80%,20.00%,May 04/a,266.48,0.40%,"1,658,369"
387,PYPL,87.90B,87.9,26.62,16.49,1.76,3.4,4.55,,4.80%,16.80%,14.10%,1.2,1.2,0.4,0.45,45.40%,15.20%,13.90%,Apr 27/a,80.54,-0.91%,"16,786,839"
388,QCOM,143.94B,143.94,13.47,9.98,0.94,3.67,11.11,2.28%,26.70%,104.30%,33.20%,1.6,1.3,0.91,1.18,58.50%,32.60%,28.40%,Apr 27/a,131.6,0.79%,"11,302,793"
389,QRVO,11.37B,11.37,11.74,8.52,0.95,2.45,2.55,,14.90%,23.70%,12.00%,3.6,2.6,0.44,0,49.20%,25.60%,23.80%,May 04/a,108.61,3.61%,"2,214,934"
390,RCL,13.24B,13.24,,10.85,-,5.2,3.54,,-16.10%,-90.40%,-15.40%,0.4,0.4,5,5.64,-37.00%,-,-,May 05/b,55.41,-3.52%,"4,792,112"
391,RE,10.44B,10.44,8.05,6.58,-,0.86,1.1,2.44%,-,-,11.00%,-,-,0.32,0.32,-,-,-,Apr 27/a,270.57,-2.09%,"245,530"
392,REG,10.53B,10.53,22.74,31.6,2.5,8.81,1.77,3.95%,4.40%,7.90%,3.80%,-,-,0.61,0.61,72.50%,33.10%,39.80%,May 03/a,63.26,-1.48%,"1,256,215"
393,REGN,71.32B,71.32,9.37,14.96,0.72,4.32,3.55,,32.70%,44.70%,35.80%,4.8,4.3,0.14,0.14,84.60%,55.10%,48.10%,May 04/b,661.14,0.61%,"542,478"
394,RF,18.77B,18.77,8.36,8.38,0.33,4.56,1.23,3.37%,1.40%,14.10%,19.60%,-,-,0.15,0.15,-,-,56.10%,Apr 22/b,20.15,0.65%,"7,928,434"
395,RHI,9.73B,9.73,15.02,13,1.31,1.42,6.66,1.94%,22.70%,48.50%,43.30%,1.8,1.8,0,0,42.30%,12.80%,9.50%,Apr 26/a,88.61,-0.35%,"1,220,377"
396,RJF,18.51B,18.51,12.95,9.43,1.52,1.72,2.22,1.48%,2.30%,18.10%,3.20%,-,-,0.34,4.42,96.20%,18.00%,14.00%,Apr 27/a,91.77,0.25%,"1,348,274"
397,RL,6.34B,6.34,13.97,10.64,-,1.06,2.51,2.95%,6.20%,18.40%,-1.60%,1.9,1.5,0.55,0.74,66.50%,12.30%,8.40%,May 24/b,93.24,1.25%,"1,387,208"
398,RMD,28.25B,28.25,37.25,30.12,1.52,7.98,8.82,0.85%,16.30%,25.30%,14.00%,2.6,1.6,0.2,0.21,56.30%,27.90%,22.00%,Apr 28/a,197.66,0.04%,"449,668"
399,ROK,23.20B,23.2,36.29,17.96,3.91,3.17,8.81,2.25%,6.30%,26.30%,21.10%,1.1,0.8,1.32,1.56,39.60%,8.80%,8.80%,May 03/b,199.51,0.40%,"907,336"
400,ROL,16.96B,16.96,52.5,43.56,6.4,6.84,15.68,1.13%,16.70%,30.40%,25.50%,1,1,0.25,0.27,51.70%,18.10%,13.30%,Apr 27/b,35.28,2.77%,"1,975,399"
401,ROP,44.06B,44.06,44.59,24.87,5.79,7.43,3.25,0.59%,-,-,6.10%,1.3,1.2,0.49,0.55,67.70%,-,-,Apr 26/b,417.46,1.04%,"660,754"
402,ROST,24.45B,24.45,14.77,12.58,0.41,1.29,6.18,1.73%,12.60%,44.20%,27.60%,1.8,1.2,0.6,0.6,27.50%,12.30%,9.10%,May 19/a,71.87,-22.47%,"34,518,308"
403,RSG,39.90B,39.9,30.65,24.99,2.79,3.42,4.56,1.42%,5.50%,15.10%,9.70%,0.8,0.7,1.07,1.07,40.30%,18.40%,11.50%,May 05/a,129.45,1.52%,"1,139,736"
404,RTX,133.33B,133.33,32.14,15.55,1.98,2.06,1.85,2.44%,2.60%,5.80%,3.40%,1.2,0.9,0.43,0.43,20.00%,6.70%,6.50%,Apr 26/b,90.08,-0.19%,"6,537,205"
405,SBAC,34.08B,34.08,82.4,65.22,2.33,14.32,,0.87%,-,-,10.40%,0.4,0.4,-,-,76.10%,-,-,Apr 25/a,326.62,2.35%,"821,390"
406,SBNY,11.26B,11.26,13.7,7,2.17,5.43,1.46,1.17%,0.80%,10.90%,17.80%,-,-,0.07,0.07,-,81.80%,38.10%,Apr 19/b,190.89,1.01%,"987,745"
407,SBUX,77.82B,77.82,19.64,21.28,2.49,2.48,,2.67%,14.90%,-60.10%,49.30%,0.8,0.6,-,-,27.70%,19.00%,14.10%,May 03/a,73.39,2.03%,"15,873,151"
408,SCHW,118.79B,118.79,22.91,12.48,1.01,6.26,3.2,1.26%,0.80%,11.80%,1.10%,-,-,0.58,13.15,97.30%,40.00%,27.70%,Apr 18/b,63.28,0.99%,"7,776,075"
409,SEDG,12.98B,12.98,82.5,26.56,2.77,5.86,6.79,,-,-,9.60%,4.3,3.6,0.34,0,30.20%,-,-,May 02/a,256.81,1.84%,"835,935"
410,SEE,8.85B,8.85,16.87,13.03,1.4,1.56,46.43,1.34%,8.90%,330.50%,16.40%,1.3,0.7,19.38,19.43,30.90%,16.10%,9.60%,May 03/b,59.89,0.13%,"924,331"
411,SHW,67.40B,67.4,37.57,23.26,2.53,3.32,29.89,0.93%,8.70%,71.60%,15.30%,0.9,0.5,3.85,4.74,41.80%,10.80%,9.00%,Apr 26/b,257.95,-0.55%,"2,558,443"
412,SIVB,24.80B,24.8,14.75,9.4,1.84,6.65,2.07,,0.90%,14.60%,15.90%,-,-,0.21,0.21,-,93.40%,45.80%,Apr 21/a,434.7,-0.18%,"570,889"
413,SJM,13.64B,13.64,23.6,14.09,14.66,1.73,1.64,3.16%,3.60%,7.00%,8.50%,1.2,0.6,0.52,0.53,35.30%,12.00%,7.30%,Mar 01/b,125.31,-0.83%,"1,093,876"
414,SLB,55.68B,55.68,28.13,15.52,0.67,2.35,3.78,1.70%,5.10%,14.80%,7.90%,1.2,0.9,0.86,0.92,16.40%,12.60%,8.80%,Apr 22/b,41.12,0.66%,"9,763,155"
415,SNA,11.12B,11.12,13.61,12.76,2.96,2.38,2.61,2.71%,12.50%,20.50%,16.30%,3.2,2.3,0.28,0.28,53.10%,24.60%,18.10%,Apr 21/b,209.96,-2.36%,"386,123"
416,SNPS,44.59B,44.59,53.08,34.34,3.28,9.9,8.72,,10.50%,17.40%,12.70%,1.2,1.1,0,0,79.80%,20.70%,20.20%,May 18/a,306.72,2.06%,"1,825,039"
417,SO,78.46B,78.46,34.26,19.34,5.35,3.29,2.76,3.71%,1.80%,8.10%,4.20%,0.9,0.7,1.79,1.91,85.40%,14.60%,9.60%,Apr 28/b,73.41,0.11%,"5,741,624"
418,SPG,35.41B,35.41,16.06,18.7,1.87,6.85,11.13,6.25%,6.60%,68.20%,8.20%,-,-,7.83,7.83,81.00%,46.00%,43.10%,May 09/a,108.84,-1.09%,"3,279,265"
419,SPGI,113.90B,113.9,24.71,22.17,2.35,13.14,2.37,0.99%,12.90%,31.30%,54.00%,1.4,1.4,0.29,0.29,72.10%,57.90%,40.40%,May 03/b,342.42,3.12%,"3,407,801"
420,SRE,49.36B,49.36,50.64,17.87,7.42,3.68,2.01,2.86%,1.40%,4.00%,2.30%,0.7,0.7,0.97,1.07,95.30%,8.40%,7.40%,May 05/b,160.11,-1.10%,"1,564,367"
421,STE,22.85B,22.85,77.67,24.15,7.77,5.38,3.42,0.76%,-,-,7.70%,2.1,1.5,0.48,0.5,43.00%,-,-,May 11/a,225.94,1.14%,"576,206"
422,STT,24.20B,24.2,9.14,6.92,0.81,12.02,1.02,3.38%,0.80%,10.90%,3.70%,-,-,0.57,0.57,-,-,-,Apr 14/b,67.47,2.29%,"3,880,637"
423,STX,16.66B,16.66,9.85,8.56,0.49,1.38,33.66,3.49%,18.30%,288.50%,25.30%,1.5,1.1,10.7,11.14,29.80%,15.20%,13.40%,Apr 27/b,80.12,-2.90%,"2,302,748"
424,STZ,43.69B,43.69,,18.21,-,4.95,3.8,1.36%,-0.20%,-0.30%,9.00%,1.2,0.7,0.81,0.89,53.40%,26.10%,-0.50%,Apr 07/b,234.5,-0.14%,"1,262,370"
425,SWK,17.40B,17.4,14.91,10.04,1.14,1.06,2.07,2.72%,-,-,9.60%,0.9,0.3,0.61,1.2,32.00%,-,-,Apr 28/b,116.35,0.26%,"1,612,162"
