No.,Ticker,Market Cap,Market_Cap,PE,Fwd_PE,PEG,PS,PB,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt_Eq,Debt_Eq,Gross_M,Oper_M,Profit_M,Earnings,Price,Change,Volume
201,GILD,80.22B,80.22,17.83,10.04,-,2.92,4.02,4.57%,6.80%,22.00%,16.40%,1.5,1.3,1.26,1.32,75.70%,26.30%,16.40%,Apr 28/a,63.84,0.90%,"6,790,835"
202,GIS,39.86B,39.86,17.88,16.88,4.14,2.14,4.14,3.04%,7.20%,23.90%,12.00%,0.7,0.5,1.12,1.25,33.40%,16.80%,12.40%,Mar 23/b,67.01,1.33%,"4,793,883"
203,GL,9.13B,9.13,13.07,10.2,0.89,1.77,1.35,0.89%,2.50%,8.90%,7.80%,-,-,0.22,0.3,-,18.90%,14.20%,Apr 20/a,93.56,-0.34%,"477,131"
204,GLW,27.72B,27.72,26.55,12.52,1.24,1.92,2.25,3.26%,3.60%,8.90%,8.40%,1.6,1,0.55,0.56,35.90%,15.10%,7.50%,Apr 26/b,33.13,-1.16%,"6,025,890"
205,GM,48.04B,48.04,5.88,5.2,2.03,0.37,0.83,,3.60%,15.50%,3.90%,1.1,0.9,1.24,1.77,13.40%,6.30%,6.80%,Apr 26/a,35.4,-1.99%,"23,994,127"
206,GNRC,13.32B,13.32,28.25,15.93,2.1,3.28,6.07,,11.30%,25.30%,18.30%,1.7,0.7,0.43,0.47,34.40%,16.90%,12.40%,May 04/b,220.84,-1.27%,"1,058,414"
207,GOOG,1500.79B,1500.79,21.06,19.47,1,6.27,5.94,,-,-,-,-,-,-,-,-,-,-,Apr 26/a,2186.26,-1.29%,"1,859,887"
208,GOOGL,1396.55B,1396.55,19.7,16.42,1.15,5.17,5.66,,21.30%,30.20%,24.00%,2.9,2.8,0.06,0.06,56.90%,30.50%,27.60%,Apr 26/a,2178.16,-1.34%,"2,427,455"
209,GPC,17.92B,17.92,19.9,15.45,4.33,0.91,5.07,2.79%,6.30%,27.50%,14.70%,1.2,0.6,0.94,0.98,35.10%,6.20%,4.70%,Apr 21/b,128.54,-2.62%,"995,406"
210,GPN,33.14B,33.14,34.96,10.99,1.95,3.81,1.37,0.82%,2.20%,3.90%,3.20%,1.1,1.1,0.47,0.49,56.20%,16.80%,11.70%,May 02/b,122.1,1.35%,"1,100,128"
211,GRMN,19.08B,19.08,18.11,15.06,2.6,3.75,3.11,2.90%,14.10%,18.00%,17.90%,3.5,2.4,0,0,57.30%,23.60%,21.10%,Apr 27/b,100.65,-0.13%,"1,241,958"
212,GS,102.77B,102.77,5.95,7.54,-,1.71,1.03,2.61%,1.20%,18.60%,2.20%,-,-,2.56,8.9,83.10%,38.90%,30.40%,Apr 14/b,306.8,-0.45%,"2,184,105"
213,GWW,23.34B,23.34,20.56,15.88,1.42,1.72,11.41,1.48%,17.70%,61.20%,27.80%,2.5,1.4,1.12,0,36.90%,12.70%,8.60%,Apr 28/b,464.54,-0.52%,"270,612"
214,HAL,31.69B,31.69,21.2,13.72,0.35,1.96,4.7,1.31%,7.20%,25.00%,12.60%,2.2,1.6,1.22,0,13.50%,11.80%,9.60%,Apr 19/b,36.7,1.77%,"9,673,834"
215,HAS,11.48B,11.48,28.43,14.47,1.61,1.77,3.87,3.31%,3.70%,12.50%,8.60%,1.6,1.3,1.23,1.31,60.20%,11.40%,5.80%,Apr 19/b,84.7,-2.37%,"2,947,520"
216,HBAN,18.49B,18.49,17.98,8.55,-,4.09,1.15,4.76%,0.60%,6.30%,15.70%,-,-,0.39,0.39,-,92.20%,24.00%,Apr 21/b,13.02,-0.69%,"13,996,559"
217,HCA,60.19B,60.19,9.63,10.66,1.31,1.01,,1.09%,13.60%,-640.00%,22.50%,1.4,1.2,-,-,84.00%,16.00%,11.40%,Apr 22/b,204.78,0.81%,"1,475,042"
218,HD,290.42B,290.42,18.51,16.64,1.27,1.92,,2.65%,22.80%,-,46.20%,1,0.2,-,-,33.60%,15.20%,10.90%,May 17/b,287.19,-0.20%,"5,566,194"
219,HES,33.46B,33.46,48.6,11.43,0.71,4.24,5.55,1.32%,3.70%,12.20%,8.40%,1.4,1.3,1.29,1.29,69.70%,26.30%,9.20%,Apr 27/b,113.34,-0.08%,"1,726,912"
220,HIG,21.82B,21.82,9.18,8.2,0.75,0.97,1.43,2.31%,3.40%,14.80%,11.60%,-,-,0.28,0.32,-,15.00%,11.30%,Apr 28/a,66.79,-0.96%,"4,054,272"
221,HII,7.92B,7.92,14.84,10.92,1.09,0.81,2.8,2.39%,5.40%,21.70%,7.10%,1.2,1.1,1.13,1.13,14.00%,5.10%,5.50%,May 05/b,197.76,-1.48%,"286,749"
222,HLT,35.16B,35.16,50.24,22.8,1.04,5.3,,0.46%,4.80%,-71.90%,9.90%,0.9,0.9,-,-,41.40%,20.50%,11.00%,May 03/b,130.28,-1.09%,"2,663,655"
223,HOLX,18.88B,18.88,12.8,21.29,7.53,3.5,4.08,,17.10%,35.70%,27.10%,3,2.6,0.59,0.65,64.20%,37.70%,28.80%,Jun 07/b,77.75,-0.47%,"1,729,502"
224,HON,128.76B,128.76,25.21,19.44,2.38,3.75,7.07,2.07%,8.20%,28.90%,14.70%,1.2,0.9,0.69,1.05,31.90%,20.00%,15.30%,Apr 29/b,189.75,-1.51%,"3,865,351"
225,HPE,18.03B,18.03,5.08,6.39,0.83,0.65,0.91,3.39%,6.60%,20.10%,10.00%,0.9,0.7,0.51,0.69,33.80%,13.20%,13.30%,Jun 01/a,14.16,-5.85%,"24,161,126"
226,HPQ,35.57B,35.57,6.16,7.9,1.76,0.55,,2.89%,17.70%,-231.20%,112.70%,0.7,0.4,-,-,20.80%,11.80%,10.10%,May 31/a,34.65,-3.02%,"14,457,816"
227,HRL,25.86B,25.86,28.54,23,3.36,2.16,3.69,2.15%,7.80%,13.40%,8.80%,2.2,1.2,0.47,0.47,16.80%,9.80%,7.70%,Jun 02/b,48.26,0.94%,"2,126,625"
228,HSIC,11.69B,11.69,18.15,16.06,2.4,0.92,3.19,,7.70%,18.70%,15.20%,1.8,0.9,0.22,0.24,29.70%,6.80%,5.10%,May 03/b,83.45,0.70%,"780,785"
